panel,axis,series,x_beat_cv,y,mcse,n,table,x_false_alarm,x_mcse,n_nonevent,x_r_mean
e,AP-SL,true tau=6,,0.002847,5.328127805336505e-05,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,3)))",,,,0.9
f,AP-SL,measured anchor tau=2,,0.86954,0.0010650830408939,100000.0,E4_ellipticity_cells.csv cell 157,,,,0.53
f,AP-SL,measured anchor tau=2,,0.73997,0.0013871351740187,100000.0,E4_ellipticity_cells.csv cell 193,,,,0.64
f,AP-SL,measured anchor tau=2,,0.49913,0.0015811364365544,100000.0,E4_ellipticity_cells.csv cell 229,,,,0.8
f,AP-SL,measured anchor tau=2,,0.36251,0.001520185843573,100000.0,E4_ellipticity_cells.csv cell 265,,,,0.9
f,AP-SL,measured anchor tau=3,,0.72925,0.0014051492358464,100000.0,E4_ellipticity_cells.csv cell 157,,,,0.53
f,AP-SL,measured anchor tau=3,,0.56457,0.0015678989607114,100000.0,E4_ellipticity_cells.csv cell 193,,,,0.64
f,AP-SL,measured anchor tau=3,,0.31163,0.0014646390104732,100000.0,E4_ellipticity_cells.csv cell 229,,,,0.8
f,AP-SL,measured anchor tau=3,,0.18867,0.0012372292879656,100000.0,E4_ellipticity_cells.csv cell 265,,,,0.9
f,AP-SL,measured anchor tau=4,,0.56557,0.0015674838917832,100000.0,E4_ellipticity_cells.csv cell 157,,,,0.53
f,AP-SL,measured anchor tau=4,,0.39826,0.0015480599872097,100000.0,E4_ellipticity_cells.csv cell 193,,,,0.64
f,AP-SL,measured anchor tau=4,,0.18308,0.0012229542657025,100000.0,E4_ellipticity_cells.csv cell 229,,,,0.8
f,AP-SL,measured anchor tau=4,,0.09552,0.000929494107566,100000.0,E4_ellipticity_cells.csv cell 265,,,,0.9
f,AP-SL,measured anchor tau=5,,0.41233,0.0015566437328431,100000.0,E4_ellipticity_cells.csv cell 157,,,,0.53
f,AP-SL,measured anchor tau=5,,0.26521,0.0013959715466298,100000.0,E4_ellipticity_cells.csv cell 193,,,,0.64
f,AP-SL,measured anchor tau=5,,0.10566,0.0009720903476529,100000.0,E4_ellipticity_cells.csv cell 229,,,,0.8
f,AP-SL,measured anchor tau=5,,0.04924,0.0006842179652713,100000.0,E4_ellipticity_cells.csv cell 265,,,,0.9
f,AP-SL,measured anchor tau=6,,0.28767,0.0014314886346038,100000.0,E4_ellipticity_cells.csv cell 157,,,,0.53
f,AP-SL,measured anchor tau=6,,0.17121,0.0011912058424134,100000.0,E4_ellipticity_cells.csv cell 193,,,,0.64
f,AP-SL,measured anchor tau=6,,0.0603,0.0007527543423986,100000.0,E4_ellipticity_cells.csv cell 229,,,,0.8
f,AP-SL,measured anchor tau=6,,0.02571,0.0005004897191751,100000.0,E4_ellipticity_cells.csv cell 265,,,,0.9
