u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,s_det,f_rej
base,True,4,0.15,0.3,3.0,A6,AP,T1,0.007703359202232,0.0723582962553302,0.0078227863159833,0.0054471247655059,-0.2376883271938597,-2.085740521008398,2.4475724093481928,2.436016071347088,i,,
base,True,1,0.15,0.3,3.0,A7,AP,T1,0.0063077000585337,0.0600069315697605,0.0062048571589571,0.0044602397863347,0.2384831001370146,2.470081672213688,2.0088659499363457,1.99466989821442,i,,
base,True,2,0.15,0.3,3.0,A7,AP,T1,0.0056756063256488,0.0550469559970345,0.0056953113834312,0.0040132797866606,0.2474761796531296,2.639528706713044,1.81175687203419,1.7947843091509823,i,,
base,True,3,0.15,0.3,3.0,A7,AP,T1,0.0054089789585981,0.0527319368003975,0.0051717633822464,0.003824744824692,0.2669869540749441,2.8258541898687044,1.73117246802525,1.7104693325095874,i,,
base,True,4,0.15,0.3,3.0,A7,AP,T1,0.0053084707261363,0.0523536550279213,0.0050182221254243,0.0037536744166003,0.2764874811455417,2.9935544355770305,1.7012945930653671,1.6786858386918913,i,,
base,True,1,0.15,0.3,3.0,A1,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,j,,
base,True,2,0.15,0.3,3.0,A1,AP,T1,0.0064124312359474,0.0601262270570644,0.0064832465618949,0.0045342962823689,-0.2159055087490201,-1.7084229588772195,2.039240423542363,2.0277888044802443,j,,
base,True,3,0.15,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,j,,
base,True,4,0.15,0.3,3.0,A1,AP,T1,0.006415333618091,0.0601467233100358,0.0063816413579382,0.0045363485867258,-0.2020758403383724,-1.5327907213894714,2.038735890664592,2.02870661830165,j,,
base,True,1,0.15,0.3,3.0,A2,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,j,,
base,True,2,0.15,0.3,3.0,A2,AP,T1,0.0061825348542863,0.0557386319207644,0.006401577493351,0.0043717341791135,-0.9464267701251928,-8.455838117424806,2.1721093733785404,1.9550891852922043,j,,
base,True,3,0.15,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,j,,
base,True,4,0.15,0.3,3.0,A2,AP,T1,0.005814735072347,0.0504856239837884,0.0065523015102981,0.004111659158807,-1.3821956829907576,-12.393464290784136,2.3003359517889197,1.83878068190807,j,,
