cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity,panel
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,7.0,A4,0.0008238804944463,0.0025993290458826,0.0027267729201197,0.0009193452295353,0.0012344533004532,0.0006468958659267,0.0034896695603557,0.058577354356683,-0.1489044090206323,-0.0903270546639492,0.922085102878722,0.81243,0.9647600408650592,0.6469051554086475,AP sensitivity 7 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,7.0,A4,0.0006939108482,0.0020883623713475,0.0022006293779985,0.0008660379421818,0.0012302846625882,0.0007779828433459,0.0033453945017404,0.0408687213630277,-0.0890119937610928,-0.0481432723980651,0.9335881740981782,0.81407,0.948026582480622,0.7047275856505136,AP sensitivity 7 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,7.0,A4,0.0005487127613553,0.0015924247396964,0.0016843106144864,0.0008268588603918,0.001232678397231,0.0008920069206276,0.00317104289061,0.0251128355859456,-0.0498742441269331,-0.0247614085409874,0.9416647997411196,0.81313,0.9304662231131552,0.7491839246535025,AP sensitivity 7 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,7.0,A4,0.0010174065628336,0.0027752371674801,0.0029558513917077,0.0009000239601011,0.0012294159259583,0.0007130635527292,0.0034599951227774,0.0929384462371532,-0.1728002586346247,-0.0798618123974714,0.9264684898929846,0.81441,0.9567171326481748,0.6667923918314564,AP sensitivity 7 mm
7,0.125,0.25,10.0,20.0,10/20,AP,T1,7.0,A4,0.0008834567761252,0.0022504979310601,0.0024176924562457,0.0008336956007727,0.0012318902808286,0.0008864788456645,0.0031995831628209,0.0681304091266719,-0.1056496569468267,-0.0375192478201548,0.940464515808682,0.81344,0.9313655586152636,0.7429245283018868,AP sensitivity 7 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,7.0,A4,0.0007090327431056,0.0017938511964486,0.0019288933474394,0.0007957779886342,0.0012298249367288,0.0010186211082248,0.0030304581050764,0.0427632790911882,-0.0638492597577388,-0.0210859806665506,0.947966415036204,0.81425,0.9068345102855389,0.7818034993270525,AP sensitivity 7 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,7.0,A4,0.0013849154207027,0.0029229334127645,0.0032344289230025,0.0008767036672406,0.0012303357163798,0.0008211564242277,0.0033601287766085,0.1936244702413856,-0.1981177735950524,-0.0044933033536667,0.9321951456782918,0.81405,0.9417111971009152,0.7001344447432105,AP sensitivity 7 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,7.0,A4,0.0012758489006428,0.0024013006447389,0.0027191975293632,0.0008164416220931,0.0012394886651357,0.0010407829874194,0.0030218977788294,0.1563737768838764,-0.1249142796856042,0.0314594971982722,0.9454409180192288,0.81043,0.9027553274187776,0.7772854354591971,AP sensitivity 7 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,7.0,A4,0.001074704899818,0.0019211306479932,0.0022013027025722,0.0007620648124149,0.0012244291629163,0.0012383971442972,0.0028086671154606,0.1053959698658663,-0.073128233052001,0.0322677368138652,0.9557110516567194,0.81635,0.8532737183805965,0.824230873945004,AP sensitivity 7 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015262328603971,0.0015811364365544,0.0015434072884299,0.0015141585290245,0.0,0.0,0.0,0.8665069072455597,0.49913,0.8620800192334662,0.8676502884980135,AP sensitivity 10 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015354442892314,0.001581138160946,0.0015321086706497,0.0015342574862041,0.0,0.0,0.0,0.8634709223262139,0.49954,0.8643351883733035,0.8635855013387683,AP sensitivity 10 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015201428006078,0.0015811384202529,0.0015246382551047,0.0015203113190103,0.0,0.0,0.0,0.8667800680408245,0.50036,0.8656367415460868,0.866764070130494,AP sensitivity 10 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014931328576974,0.0015811353436692,0.0016531087686433,0.0014200249746272,0.0,0.0,0.0,0.8796596605029274,0.49895,0.8371179476901494,0.8859594850813292,AP sensitivity 10 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,10.0,A1,0.0,0.0,0.0,0.001495036212512,0.0015811370984199,0.0016487523228777,0.0014336429174696,0.0,0.0,0.0,0.8785694831451258,0.50074,0.8374605583736071,0.8839081841124865,AP sensitivity 10 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015003285577121,0.0015811328947941,0.0016569278008322,0.0014399465817384,0.0,0.0,0.0,0.8776224509043656,0.50137,0.8351915750842691,0.8828991436536109,AP sensitivity 10 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,10.0,A1,0.0,0.0,0.0,0.0014528668679303,0.0015811385261892,0.001895327662114,0.0012439286669076,0.0,0.0,0.0,0.9004072217122143,0.49969,0.7655146190638196,0.9154324318922268,AP sensitivity 10 mm
