panel,column,rhythm,data_mode,axis,W,beat_cv,N,estimator,estimand,quantity,value,mcse,n
b,N=3,AF_rr0.2,prospective,AP,0.25,0.05,3,rule,,beats_acquired_mean,3.1279,0.00127665,100000
b,N=3,AF_rr0.2,prospective,AP,0.25,0.1,3,rule,,beats_acquired_mean,3.20269,0.00154729,100000
b,N=3,AF_rr0.2,prospective,AP,0.25,0.15,3,rule,,beats_acquired_mean,3.33841,0.00190885,100000
b,N=3,AF_rr0.2,prospective,AP,0.25,0.2,3,rule,,beats_acquired_mean,3.52427,0.0023072,100000
b,N=3,AF_rr0.2,prospective,AP,0.25,0.25,3,rule,,beats_acquired_mean,3.72469,0.00265262,100000
b,N=3,AF_rr0.2,prospective,AP,0.25,0.3,3,rule,,beats_acquired_mean,3.92462,0.00298795,100000
b,N=5,sinus,prospective,AP,0,0.05,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0,0.1,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0,0.15,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0,0.2,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0,0.25,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0,0.3,5,rule,,beats_acquired_mean,5,0,100000
b,N=5,sinus,prospective,AP,0.1,0.05,5,rule,,beats_acquired_mean,7.06125,0.00635578,100000
b,N=5,sinus,prospective,AP,0.1,0.1,5,rule,,beats_acquired_mean,7.85626,0.00667675,100000
b,N=5,sinus,prospective,AP,0.1,0.15,5,rule,,beats_acquired_mean,8.8574,0.00732765,100000
b,N=5,sinus,prospective,AP,0.1,0.2,5,rule,,beats_acquired_mean,9.92262,0.00814735,100000
b,N=5,sinus,prospective,AP,0.1,0.25,5,rule,,beats_acquired_mean,10.983,0.00908021,100000
b,N=5,sinus,prospective,AP,0.1,0.3,5,rule,,beats_acquired_mean,12.0504,0.010104,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.05,5,rule,,beats_acquired_mean,7.51909,0.00648126,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.1,5,rule,,beats_acquired_mean,8.22852,0.00689178,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.15,5,rule,,beats_acquired_mean,9.16249,0.0075759,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.2,5,rule,,beats_acquired_mean,10.157,0.00840591,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.25,5,rule,,beats_acquired_mean,11.1763,0.00924337,100000
b,N=5,AF_rr0.2,prospective,AP,0.1,0.3,5,rule,,beats_acquired_mean,12.173,0.0101774,100000
b,N=5,sinus,prospective,AP,0.15,0.05,5,rule,,beats_acquired_mean,5.94685,0.00422275,100000
b,N=5,sinus,prospective,AP,0.15,0.1,5,rule,,beats_acquired_mean,6.42575,0.00462371,100000
b,N=5,sinus,prospective,AP,0.15,0.15,5,rule,,beats_acquired_mean,7.11719,0.00523212,100000
b,N=5,sinus,prospective,AP,0.15,0.2,5,rule,,beats_acquired_mean,7.88751,0.00594879,100000
b,N=5,sinus,prospective,AP,0.15,0.25,5,rule,,beats_acquired_mean,8.65696,0.00666257,100000
b,N=5,sinus,prospective,AP,0.15,0.3,5,rule,,beats_acquired_mean,9.41769,0.00742613,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.05,5,rule,,beats_acquired_mean,6.2078,0.00444698,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.1,5,rule,,beats_acquired_mean,6.66804,0.00480242,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.15,5,rule,,beats_acquired_mean,7.32189,0.00539491,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.2,5,rule,,beats_acquired_mean,8.0295,0.00606698,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.25,5,rule,,beats_acquired_mean,8.78834,0.00682042,100000
b,N=5,AF_rr0.2,prospective,AP,0.15,0.3,5,rule,,beats_acquired_mean,9.51478,0.00751092,100000
b,N=5,sinus,prospective,AP,0.2,0.05,5,rule,,beats_acquired_mean,5.45596,0.00285673,100000
b,N=5,sinus,prospective,AP,0.2,0.1,5,rule,,beats_acquired_mean,5.74193,0.00333368,100000
b,N=5,sinus,prospective,AP,0.2,0.15,5,rule,,beats_acquired_mean,6.21547,0.00392035,100000
b,N=5,sinus,prospective,AP,0.2,0.2,5,rule,,beats_acquired_mean,6.79081,0.0046014,100000
b,N=5,sinus,prospective,AP,0.2,0.25,5,rule,,beats_acquired_mean,7.40043,0.00525733,100000
b,N=5,sinus,prospective,AP,0.2,0.3,5,rule,,beats_acquired_mean,7.98796,0.00587763,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.05,5,rule,,beats_acquired_mean,5.60241,0.00313525,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.1,5,rule,,beats_acquired_mean,5.90086,0.00354982,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.15,5,rule,,beats_acquired_mean,6.36073,0.0041149,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.2,5,rule,,beats_acquired_mean,6.9081,0.00470937,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.25,5,rule,,beats_acquired_mean,7.49507,0.00535552,100000
b,N=5,AF_rr0.2,prospective,AP,0.2,0.3,5,rule,,beats_acquired_mean,8.08749,0.00599282,100000
b,N=5,sinus,prospective,AP,0.25,0.05,5,rule,,beats_acquired_mean,5.2331,0.00198954,100000
b,N=5,sinus,prospective,AP,0.25,0.1,5,rule,,beats_acquired_mean,5.39026,0.00240013,100000
b,N=5,sinus,prospective,AP,0.25,0.15,5,rule,,beats_acquired_mean,5.70198,0.00299121,100000
b,N=5,sinus,prospective,AP,0.25,0.2,5,rule,,beats_acquired_mean,6.13284,0.0036276,100000
b,N=5,sinus,prospective,AP,0.25,0.25,5,rule,,beats_acquired_mean,6.60934,0.00426606,100000
b,N=5,sinus,prospective,AP,0.25,0.3,5,rule,,beats_acquired_mean,7.10245,0.00485464,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.05,5,rule,,beats_acquired_mean,5.3078,0.00218679,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.1,5,rule,,beats_acquired_mean,5.49013,0.0026019,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.15,5,rule,,beats_acquired_mean,5.80901,0.00314503,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.2,5,rule,,beats_acquired_mean,6.22993,0.00376223,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.25,5,rule,,beats_acquired_mean,6.69089,0.00436351,100000
b,N=5,AF_rr0.2,prospective,AP,0.25,0.3,5,rule,,beats_acquired_mean,7.17027,0.00492652,100000
d,N=3,sinus,retrospective,AP,0,0.05,3,rule,,p_limited,0.22473,0.00131995,100000
d,N=3,sinus,retrospective,AP,0,0.1,3,rule,,p_limited,0.2234,0.00131717,100000
d,N=3,sinus,retrospective,AP,0,0.15,3,rule,,p_limited,0.2244,0.00131926,100000
d,N=3,sinus,retrospective,AP,0,0.2,3,rule,,p_limited,0.22359,0.00131756,100000
d,N=3,sinus,retrospective,AP,0,0.25,3,rule,,p_limited,0.22422,0.00131888,100000
d,N=3,sinus,retrospective,AP,0,0.3,3,rule,,p_limited,0.22352,0.00131742,100000
d,N=3,sinus,retrospective,AP,0.1,0.05,3,rule,,p_limited,0.39004,0.00154243,100000
d,N=3,sinus,retrospective,AP,0.1,0.1,3,rule,,p_limited,0.4516,0.00157371,100000
d,N=3,sinus,retrospective,AP,0.1,0.15,3,rule,,p_limited,0.5246,0.00157922,100000
d,N=3,sinus,retrospective,AP,0.1,0.2,3,rule,,p_limited,0.59179,0.00155427,100000
d,N=3,sinus,retrospective,AP,0.1,0.25,3,rule,,p_limited,0.64927,0.00150903,100000
d,N=3,sinus,retrospective,AP,0.1,0.3,3,rule,,p_limited,0.69734,0.00145278,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.05,3,rule,,p_limited,0.42833,0.00156481,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.1,3,rule,,p_limited,0.48117,0.00158002,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.15,3,rule,,p_limited,0.54265,0.00157538,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.2,3,rule,,p_limited,0.60435,0.00154632,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.25,3,rule,,p_limited,0.65874,0.00149934,100000
d,N=3,AF_rr0.2,retrospective,AP,0.1,0.3,3,rule,,p_limited,0.703,0.00144496,100000
d,N=3,sinus,retrospective,AP,0.15,0.05,3,rule,,p_limited,0.30039,0.00144968,100000
d,N=3,sinus,retrospective,AP,0.15,0.1,3,rule,,p_limited,0.34265,0.0015008,100000
d,N=3,sinus,retrospective,AP,0.15,0.15,3,rule,,p_limited,0.40168,0.00155027,100000
d,N=3,sinus,retrospective,AP,0.15,0.2,3,rule,,p_limited,0.45767,0.00157546,100000
d,N=3,sinus,retrospective,AP,0.15,0.25,3,rule,,p_limited,0.51269,0.00158063,100000
d,N=3,sinus,retrospective,AP,0.15,0.3,3,rule,,p_limited,0.56385,0.00156819,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.05,3,rule,,p_limited,0.32282,0.00147854,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.1,3,rule,,p_limited,0.36414,0.00152165,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.15,3,rule,,p_limited,0.41822,0.00155985,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.2,3,rule,,p_limited,0.4709,0.00157846,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.25,3,rule,,p_limited,0.52364,0.00157937,100000
d,N=3,AF_rr0.2,retrospective,AP,0.15,0.3,3,rule,,p_limited,0.57034,0.00156541,100000
d,N=3,sinus,retrospective,AP,0.2,0.05,3,rule,,p_limited,0.25925,0.00138578,100000
d,N=3,sinus,retrospective,AP,0.2,0.1,3,rule,,p_limited,0.28536,0.00142804,100000
d,N=3,sinus,retrospective,AP,0.2,0.15,3,rule,,p_limited,0.32762,0.0014842,100000
d,N=3,sinus,retrospective,AP,0.2,0.2,3,rule,,p_limited,0.37689,0.00153246,100000
d,N=3,sinus,retrospective,AP,0.2,0.25,3,rule,,p_limited,0.42224,0.0015619,100000
d,N=3,sinus,retrospective,AP,0.2,0.3,3,rule,,p_limited,0.46803,0.0015779,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.05,3,rule,,p_limited,0.27213,0.00140739,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.1,3,rule,,p_limited,0.29726,0.00144533,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.15,3,rule,,p_limited,0.33953,0.0014975,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.2,3,rule,,p_limited,0.38438,0.00153828,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.25,3,rule,,p_limited,0.42999,0.00156556,100000
d,N=3,AF_rr0.2,retrospective,AP,0.2,0.3,3,rule,,p_limited,0.47418,0.00157903,100000
