u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
low,True,0.6,3.0,A1,AP,T1,0.0063623161162638,0.0601094863570168,0.0064272090661503,0.0044988593642157,0.0469708035328097,0.715130007462154,2.0124791709842014,2.011941012139049,b,,,,
low,True,0.9,3.0,A1,AP,T1,0.0063914339707859,0.0599445843523484,0.0064744186544099,0.0045194488995497,0.0374817159589343,0.6090000781194412,2.0214862969841407,2.02114888622576,b,,,,
low,True,0.0,3.0,A2,AP,T1,0.0052526215369394,0.0493207442928043,0.0053001260989904,0.0037141828787371,-0.2360959695166019,-1.8771035860961975,1.6777118399239337,1.6610247743582804,b,,,,
low,True,0.3,3.0,A2,AP,T1,0.0053258138660758,0.0495842719012568,0.0051623665700375,0.0037659379297763,-0.2246337506772069,-1.802534188344702,1.6990765995853612,1.6841702210906653,b,,,,
low,True,0.6,3.0,A2,AP,T1,0.0053763118885549,0.0502932897898441,0.0052027304497572,0.0038016456024466,-0.2345352711095124,-1.8803740972406275,1.7162315813918192,1.7001390979275124,b,,,,
low,True,0.9,3.0,A2,AP,T1,0.0055358271492009,0.0514270474581857,0.0053565121789316,0.0039144404889279,-0.2389273209936002,-1.94398295069449,1.7668032833108585,1.7505822524471897,b,,,,
low,True,0.0,3.0,A3,AP,T1,0.0065100358100015,0.0594136176932781,0.0106149274112324,0.0046033134836442,1.0978308151754776,10.925486409004243,2.333076668892994,2.0586540808863987,b,,,,
low,True,0.3,3.0,A3,AP,T1,0.0065259041898273,0.0594314557531245,0.0092318194611977,0.0046145341787292,1.0984874542082583,10.8610402942405,2.337814074965784,2.063672103189041,b,,,,
low,True,0.6,3.0,A3,AP,T1,0.0064749168469182,0.0595438087228374,0.00846995251971,0.0045784805025346,1.0600249218314746,10.561445619191316,2.3056594995372137,2.047548489645739,b,,,,
low,True,0.9,3.0,A3,AP,T1,0.0064993560405275,0.0597089659936561,0.0083388707686496,0.0045957617084687,1.002440811595839,9.992965719170662,2.2867024802711327,2.0552768412440616,b,,,,
low,True,0.0,3.0,A4,AP,T1,0.0061254063055402,0.0573073359816805,0.009524581913463,0.0043313379929144,0.9151072990253472,9.46190969046601,2.142298786099234,1.9370235519464376,b,,,,
low,True,0.3,3.0,A4,AP,T1,0.0061328025117801,0.0573523973488556,0.0078851882393206,0.0043365679266515,0.9226869695684392,9.456110688994926,2.147659260076997,1.9393624377227,b,,,,
low,True,0.6,3.0,A4,AP,T1,0.0061254364592039,0.0575634537993062,0.0072601954026282,0.0043313593148811,0.899232299264079,9.278813090443082,2.135574486793304,1.937033087372164,b,,,,
low,True,0.9,3.0,A4,AP,T1,0.0061607509109112,0.0577304958552857,0.0071746311332892,0.0043563305280136,0.8661119903812132,8.910024188260751,2.132040619608299,1.9482004975436735,b,,,,
low,True,0.0,3.0,A5,AP,T1,0.0054695179542197,0.0514281373278411,0.0052015206333059,0.0038675525730615,-0.2780137941271857,-2.250097373751008,1.751806044986592,1.7296134438518982,b,,,,
low,True,0.3,3.0,A5,AP,T1,0.0055327240433319,0.051642180764715,0.0053007278585666,0.003912246250754,-0.2666019809857758,-2.1668223300561147,1.7697879927258269,1.7496009642105,b,,,,
low,True,0.6,3.0,A5,AP,T1,0.0056016864885616,0.052397339171317,0.0054581189521292,0.003961010307244,-0.2748334687522858,-2.2390710428750507,1.7925934308337603,1.771408804204567,b,,,,
low,True,0.9,3.0,A5,AP,T1,0.0057660729176515,0.0535748082883748,0.0055770212908091,0.0040772496471867,-0.2823475130518665,-2.3165265493877434,1.8451142402835592,1.823392357439148,b,,,,
low,True,0.0,3.0,A6,AP,T1,0.0077405330031397,0.0730620105628953,0.0081497997817457,0.0054734107436405,0.0065063495197441,0.1422714141647288,2.447767867670958,2.4477714593624804,b,,,,
low,True,0.3,3.0,A6,AP,T1,0.0077864734501319,0.0730342988854477,0.008744042589879,0.0055058957076646,0.0194169333193545,0.2327944702539932,2.46236334993268,2.462299104284642,b,,,,
low,True,0.6,3.0,A6,AP,T1,0.0077100541712777,0.0727400954687451,0.0080219825092592,0.0054518588471885,0.005213286229744,0.0904045359621123,2.4381265893759108,2.4381332064519814,b,,,,
low,True,0.9,3.0,A6,AP,T1,0.0077350349232518,0.0727294575173443,0.0078895540252402,0.0054695229946294,0.0048548295510395,0.0985423700043723,2.446025401543741,2.446032813842144,b,,,,
low,True,0.0,3.0,A7,AP,T1,0.0051420287592173,0.0491772823680309,0.0050104275071064,0.0036359815846522,0.2235059834793813,2.369204206147183,1.641333135062223,1.6260522673216442,b,,,,
low,True,0.3,3.0,A7,AP,T1,0.0051722650175756,0.0491303255416833,0.0049800866261733,0.0036573619548772,0.2357056908267974,2.456791082588468,1.6525020307299048,1.635613811755004,b,,,,
low,True,0.6,3.0,A7,AP,T1,0.0051632241829271,0.0492372643687779,0.0050419827591488,0.0036509690874252,0.2267177826551936,2.3841553551026164,1.6484121724873706,1.6327548488111767,b,,,,
low,True,0.9,3.0,A7,AP,T1,0.0051666150875921,0.0492301348337743,0.0050290917508019,0.0036533668310969,0.2241079232542426,2.353187105257127,1.6491175863737926,1.633827147018147,b,,,,
base,True,0.3,1.0,A1,AP,T1,0.0080236537461438,0.074767261551508,0.008691325894851,0.0056736083419037,-0.250277170490369,-2.3578818410603435,2.5496031508550585,2.5373020994357005,c,,,,
base,True,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,c,,,,
base,True,0.3,5.0,A1,AP,T1,0.0059316360190353,0.0556428015819209,0.0060482239369821,0.0041943210242477,-0.2098171618238996,-1.6319984917119064,1.8874370567840588,1.875748007124544,c,,,,
