p_adjudication_value,p_beat_cv,p_view_over,ref,metric,value,mcse
closest_pair_mean,0.3,False,adj_tol3,ref_ba_bias_vs_T1,1.0162918136627948,0.008812853291591545
closest_pair_mean,0.3,True,single,ref_mae_vs_T1,2.150790912753141,0.004312135161095446
closest_pair_mean,0.3,True,single,ref_ba_bias_vs_T1,1.0917611104809042,0.009059240839284183
closest_pair_mean,0.3,True,mean2,ref_mae_vs_T1,1.942986913392027,0.0042950199475573405
closest_pair_mean,0.3,True,mean2,ref_ba_bias_vs_T1,1.0914677621547053,0.008958016746578468
closest_pair_mean,0.3,True,adj_tol1,ref_mae_vs_T1,2.03514580604678,0.0042539481494707106
closest_pair_mean,0.3,True,adj_tol1,ref_ba_bias_vs_T1,1.0868244176259996,0.009140119171449619
closest_pair_mean,0.3,True,adj_tol2,ref_mae_vs_T1,2.0264709715673215,0.0042682941267128145
closest_pair_mean,0.3,True,adj_tol2,ref_ba_bias_vs_T1,1.0864631340758937,0.009128054161764501
closest_pair_mean,0.3,True,adj_tol3,ref_mae_vs_T1,2.009478845780156,0.004278731366114848
closest_pair_mean,0.3,True,adj_tol3,ref_ba_bias_vs_T1,1.085310100224072,0.009079160116553308
