p_beat_noise_centering,p_beat_cv,p_window,p_N_beats,value,mcse
median,0.1,0.15,10,1.6521893666436611,0.005175688254146414
median,0.1,0.15,13,1.6337652982942215,0.00527652241317147
median,0.1,0.2,1,2.179820882836134,0.00656424036987205
median,0.1,0.2,3,1.8234639156380013,0.005841278837289433
median,0.1,0.2,5,1.7219776790402006,0.005479617500342525
median,0.1,0.2,7,1.680684377934006,0.0054338382243050995
median,0.1,0.2,10,1.6423131014086516,0.005339459343445156
median,0.1,0.2,13,1.617175370671526,0.005419223136209526
median,0.1,0.25,1,2.1724892833003175,0.006143831764824679
median,0.1,0.25,3,1.8005944152801692,0.00538316185648433
median,0.1,0.25,5,1.7125812555092523,0.0053551193786044605
median,0.1,0.25,7,1.669802945575415,0.005355618094523258
median,0.1,0.25,10,1.6337168234536819,0.005118931008866373
median,0.1,0.25,13,1.6137195316083675,0.0052410087614988285
median,0.15,,1,2.5238484400364767,0.008198368485246176
median,0.15,,3,1.9353553487725128,0.006652235159966784
median,0.15,,5,1.7815669436580517,0.005494369478807922
median,0.15,,7,1.7194138604213958,0.0055571750007741795
median,0.15,,10,1.6802297213130875,0.005393646521428301
median,0.15,,13,1.6488435936440444,0.005743877154618114
median,0.15,0.1,1,2.53441316455251,0.008637387393461158
median,0.15,0.1,3,2.046630779569048,0.006506408758800502
median,0.15,0.1,5,1.9131325605218823,0.007463537515928484
median,0.15,0.1,7,1.8376819293544882,0.006128637439981999
median,0.15,0.1,10,1.783306039791983,0.006031011652691186
median,0.15,0.1,13,1.7181047093777102,0.005943592497580839
median,0.15,0.15,1,2.5303108555204012,0.008129086781162188
median,0.15,0.15,3,2.0316104723573125,0.006382789963129166
median,0.15,0.15,5,1.8917822068556922,0.006008071227685975
median,0.15,0.15,7,1.803276794364094,0.006103022091315889
median,0.15,0.15,10,1.7525581792197793,0.005838047709586302
median,0.15,0.15,13,1.7085520409148558,0.005513703037939086
median,0.15,0.2,1,2.514496282958275,0.007933164719362003
median,0.15,0.2,3,2.007120472612493,0.006229164483977045
median,0.15,0.2,5,1.8648054607730968,0.006138971060665087
median,0.15,0.2,7,1.7839269565117266,0.005906912623225524
median,0.15,0.2,10,1.720254346071889,0.005555957565636827
median,0.15,0.2,13,1.6842708721488748,0.005337338354249538
median,0.15,0.25,1,2.529836577651512,0.008064678054176471
median,0.15,0.25,3,1.9853117625033219,0.006355611358716796
median,0.15,0.25,5,1.8357519666945554,0.005974068457772623
median,0.15,0.25,7,1.759478598785283,0.005564949843667948
median,0.15,0.25,10,1.7039139231601113,0.005325641359652457
median,0.15,0.25,13,1.6712472200873747,0.0054278559922027415
median,0.2,,1,2.9817801169558695,0.011444501620246236
median,0.2,,3,2.1299724423420376,0.00709076705949649
median,0.2,,5,1.919871303700699,0.007012591026923903
median,0.2,,7,1.823447077569608,0.006311372457151734
median,0.2,,10,1.739753775750777,0.0059947243419911245
median,0.2,,13,1.6926689407824735,0.005614882496578942
median,0.2,0.1,1,2.990102408887703,0.011048682571227987
median,0.2,0.1,3,2.287873131995017,0.007403126545629285
median,0.2,0.1,5,2.098846385971348,0.006770477567065364
median,0.2,0.1,7,2.008549942495043,0.007184806597727054
median,0.2,0.1,10,1.8993835401897667,0.006087481118518112
median,0.2,0.1,13,1.7268639119216513,0.005961853851702399
median,0.2,0.15,1,2.982381740738911,0.010573510222442618
median,0.2,0.15,3,2.2871345165286874,0.007516505206195915
median,0.2,0.15,5,2.0950916076847634,0.007758157942466249
median,0.2,0.15,7,1.989452616018591,0.006435117182724795
median,0.2,0.15,10,1.892457393642538,0.006203588919057039
median,0.2,0.15,13,1.830027176233897,0.006178024616546606
median,0.2,0.2,1,2.9656327026636564,0.01009006671604996
median,0.2,0.2,3,2.275983271902936,0.007493102179592912
median,0.2,0.2,5,2.0606028352752914,0.00670865316748772
median,0.2,0.2,7,1.951318444486966,0.0063860167145378495
median,0.2,0.2,10,1.8604403444631707,0.0060478630978027794
median,0.2,0.2,13,1.8095990160304825,0.006046457923234682
median,0.2,0.25,1,2.9765500529197566,0.010763540399995154
median,0.2,0.25,3,2.242027544498536,0.007454420902624202
median,0.2,0.25,5,2.0216183189416324,0.006616651483296586
median,0.2,0.25,7,1.9164752833028433,0.006221103041695974
median,0.2,0.25,10,1.826583534263867,0.005776734163910072
median,0.2,0.25,13,1.7736167408588315,0.005883003954359042
median,0.25,,1,3.474792342559774,0.013780375437745645
median,0.25,,3,2.3696459393601117,0.008955343116586231
median,0.25,,5,2.069610375275264,0.007198251548798564
median,0.25,,7,1.942637957463403,0.006964986049944718
median,0.25,,10,1.8244492664564724,0.006120884120484672
median,0.25,,13,1.7811610484564913,0.006332509789744598
median,0.25,0.1,1,3.4717259424937152,0.013247424325450674
median,0.25,0.1,3,2.564976293430411,0.008865563404129242
median,0.25,0.1,5,2.303210369841779,0.007713429249980172
