u_level,variant,p_K,p_beat_cv,p_view_over,estimator,metric,value,mcse,n,lo,hi
low,mean/triggered,3,0.15,True,A7,rmse_mm,1.6276766536544511,0.00499017818799279,100000,1.6178959044059853,1.637457402902917
low,mean/triggered,3,0.15,True,A4,bias_mm,0.7944642557117454,0.00605526178278456,100000,0.7825959426174877,0.8063325688060031
low,mean/triggered,3,0.15,True,A4,rmse_mm,2.0731030638184595,0.007116342778598966,100000,2.0591550319724057,2.0870510956645134
low,median/all_higher,3,0.15,True,A1,bias_mm,0.04939112189676792,0.006382859347611239,100000,0.03688071757544989,0.06190152621808595
low,median/all_higher,3,0.15,True,A1,rmse_mm,2.019031472554994,0.00706260178189271,100000,2.005188773062484,2.0328741720475034
low,median/all_higher,3,0.15,True,A2,bias_mm,-0.2359477804767265,0.005311507580342923,100000,-0.24635833533419862,-0.22553722561925435
low,median/all_higher,3,0.15,True,A2,rmse_mm,1.696129246432344,0.005150716046262579,100000,1.6860338429816695,1.7062246498830187
low,median/all_higher,3,0.15,True,A3,bias_mm,1.0774777041971406,0.00646589092979762,100000,1.0648045579747374,1.0901508504195438
low,median/all_higher,3,0.15,True,A3,rmse_mm,2.3112098448432454,0.008730249813227247,100000,2.29409855520932,2.328321134477171
low,median/all_higher,3,0.15,True,A5,bias_mm,-0.27541871265218265,0.005530638045484764,100000,-0.2862587632213328,-0.2645786620830325
low,median/all_higher,3,0.15,True,A5,rmse_mm,1.770485978012294,0.005372014596486071,100000,1.759956829403181,1.7810151266214067
low,median/all_higher,3,0.15,True,A6,bias_mm,0.014735930348628022,0.007760744974980663,100000,-0.00047512980233407713,0.02994699049959012
low,median/all_higher,3,0.15,True,A6,rmse_mm,2.4541950157127768,0.008513304232391624,100000,2.437508939417289,2.4708810920082644
low,median/all_higher,3,0.15,True,A7,bias_mm,0.22393531503216188,0.005173122892169751,100000,0.21379599416350917,0.2340746359008146
low,median/all_higher,3,0.15,True,A7,rmse_mm,1.6511330382095715,0.005126438693678785,100000,1.6410852183699611,1.6611808580491818
low,median/all_higher,3,0.15,True,A4,bias_mm,0.7485741470323479,0.006139680846371966,100000,0.7365403725734588,0.760607921491237
low,median/all_higher,3,0.15,True,A4,rmse_mm,2.0808396496258403,0.007681273901712143,100000,2.0657843527784845,2.095894946473196
low,median/adj_only,3,0.15,True,A1,bias_mm,0.04896488802092075,0.006451790494050174,100000,0.03631937865258241,0.06161039738925909
low,median/adj_only,3,0.15,True,A1,rmse_mm,2.040812581441506,0.006873136255278978,100000,2.027341234381159,2.0542839285018526
low,median/adj_only,3,0.15,True,A2,bias_mm,-0.22633254759323754,0.005348801350484184,100000,-0.23681619824018654,-0.21584889694628853
low,median/adj_only,3,0.15,True,A2,rmse_mm,1.7065067832031318,0.0052098593542034685,100000,1.696295458868893,1.7167181075373705
low,median/adj_only,3,0.15,True,A3,bias_mm,1.1010780461209209,0.006548535780238797,100000,1.088242915991653,1.1139131762501888
low,median/adj_only,3,0.15,True,A3,rmse_mm,2.3453490287876932,0.009167783353142901,100000,2.3273801734155333,2.363317884159853
low,median/adj_only,3,0.15,True,A5,bias_mm,-0.27097376374375376,0.005566331618297354,100000,-0.28188377371561657,-0.26006375377189095
low,median/adj_only,3,0.15,True,A5,rmse_mm,1.780954958744172,0.005438050099448059,100000,1.7702963805492538,1.7916135369390902
low,median/adj_only,3,0.15,True,A6,bias_mm,0.01875495458904445,0.007800985213287948,100000,0.0034650235710000712,0.03404488560708883
low,median/adj_only,3,0.15,True,A6,rmse_mm,2.4669470855178597,0.00835047717406686,100000,2.450580150256689,2.4833140207790305
low,median/adj_only,3,0.15,True,A7,bias_mm,0.23415248617210319,0.005210314901698911,100000,0.22394026896477331,0.24436470337943306
low,median/adj_only,3,0.15,True,A7,rmse_mm,1.6641930107069236,0.005133053408873679,100000,1.6541322260255311,1.674253795388316
low,median/adj_only,3,0.15,True,A4,bias_mm,1.0181893131293744,0.006261774014830636,100000,1.0059162360603064,1.0304623901984424
low,median/adj_only,3,0.15,True,A4,rmse_mm,2.226578462313393,0.007746716547653981,100000,2.211394897879991,2.2417620267467946
