u,view_errors,r_mean,beat_cv,N_beats,cell,axis,t_warn,t_adj,value,mcse,n
base,False,0.53,0.1,13,11,SL,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.1,13,11,AP,4.0,6.0,0.00026,5.098356597963701e-05,100000
base,False,0.53,0.1,13,11,SL,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.15,1,12,AP,2.0,4.0,0.34035,0.0014983720415837985,100000
base,False,0.53,0.15,1,12,SL,2.0,4.0,0.27569,0.0014130995148962438,100000
base,False,0.53,0.15,1,12,AP,2.0,5.0,0.38713,0.00154032581975373,100000
base,False,0.53,0.15,1,12,SL,2.0,5.0,0.29279,0.0014389719104277194,100000
base,False,0.53,0.15,1,12,AP,2.0,6.0,0.40742,0.0015537983897533168,100000
base,False,0.53,0.15,1,12,SL,2.0,6.0,0.29709,0.001445086612975153,100000
base,False,0.53,0.15,1,12,AP,3.0,4.0,0.15192,0.0011350784712961478,100000
base,False,0.53,0.15,1,12,SL,3.0,4.0,0.09981,0.0009478816587528213,100000
base,False,0.53,0.15,1,12,AP,3.0,5.0,0.22078,0.0013116256767843485,100000
base,False,0.53,0.15,1,12,SL,3.0,5.0,0.12817,0.0010570830199184925,100000
base,False,0.53,0.15,1,12,AP,3.0,6.0,0.25099,0.0013711091127258982,100000
base,False,0.53,0.15,1,12,SL,3.0,6.0,0.13574,0.0010831188872880023,100000
base,False,0.53,0.15,1,12,AP,4.0,5.0,0.08929,0.0009017610320922057,100000
base,False,0.53,0.15,1,12,SL,4.0,5.0,0.03887,0.0006112210982942261,100000
base,False,0.53,0.15,1,12,AP,4.0,6.0,0.13022,0.0010642497432463867,100000
base,False,0.53,0.15,1,12,SL,4.0,6.0,0.05002,0.0006893330080592399,100000
base,False,0.53,0.15,3,13,AP,2.0,4.0,0.25746,0.001382658122602981,100000
base,False,0.53,0.15,3,13,SL,2.0,4.0,0.13788,0.0010902710928938728,100000
base,False,0.53,0.15,3,13,AP,2.0,5.0,0.27427,0.0014108365146252772,100000
base,False,0.53,0.15,3,13,SL,2.0,5.0,0.14047,0.0010988092605179482,100000
base,False,0.53,0.15,3,13,AP,2.0,6.0,0.27969,0.0014193783988070271,100000
base,False,0.53,0.15,3,13,SL,2.0,6.0,0.14091,0.001100247117242304,100000
base,False,0.53,0.15,3,13,AP,3.0,4.0,0.0906,0.0009076984080629425,100000
base,False,0.53,0.15,3,13,SL,3.0,4.0,0.02828,0.0005242160012819143,100000
base,False,0.53,0.15,3,13,AP,3.0,5.0,0.11745,0.0010181134391608825,100000
base,False,0.53,0.15,3,13,SL,3.0,5.0,0.0329,0.0005640708288858767,100000
base,False,0.53,0.15,3,13,AP,3.0,6.0,0.12645,0.0010510014153177912,100000
base,False,0.53,0.15,3,13,SL,3.0,6.0,0.03371,0.0005707331767122006,100000
base,False,0.53,0.15,3,13,AP,4.0,5.0,0.03704,0.0005972272465318372,100000
base,False,0.53,0.15,3,13,SL,4.0,5.0,0.00645,0.000253148128572976,100000
base,False,0.53,0.15,3,13,AP,4.0,6.0,0.04972,0.0006873712359416852,100000
base,False,0.53,0.15,3,13,SL,4.0,6.0,0.00752,0.0002731931477910821,100000
base,False,0.53,0.15,5,14,AP,2.0,4.0,0.19905,0.0012626523571434855,100000
base,False,0.53,0.15,5,14,SL,2.0,4.0,0.08267,0.0008708367878081403,100000
base,False,0.53,0.15,5,14,AP,2.0,5.0,0.20718,0.0012816257160341313,100000
base,False,0.53,0.15,5,14,SL,2.0,5.0,0.08342,0.0008744204000365041,100000
base,False,0.53,0.15,5,14,AP,2.0,6.0,0.20909,0.0012859680085445361,100000
base,False,0.53,0.15,5,14,SL,2.0,6.0,0.08352,0.0008748966201786357,100000
base,False,0.53,0.15,5,14,AP,3.0,4.0,0.05887,0.0007443408029928226,100000
base,False,0.53,0.15,5,14,SL,3.0,4.0,0.01138,0.00033541758451220173,100000
base,False,0.53,0.15,5,14,AP,3.0,5.0,0.0729,0.0008221045553942638,100000
base,False,0.53,0.15,5,14,SL,3.0,5.0,0.01278,0.0003551995439186261,100000
base,False,0.53,0.15,5,14,AP,3.0,6.0,0.07676,0.0008418307573378393,100000
base,False,0.53,0.15,5,14,SL,3.0,6.0,0.01298,0.00035793183149868075,100000
base,False,0.53,0.15,5,14,AP,4.0,5.0,0.01938,0.00043594054181734463,100000
base,False,0.53,0.15,5,14,SL,4.0,5.0,0.00179,0.0001336710851306295,100000
base,False,0.53,0.15,5,14,AP,4.0,6.0,0.02496,0.0004933254341709943,100000
base,False,0.53,0.15,5,14,SL,4.0,6.0,0.00209,0.00014441717003182134,100000
base,False,0.53,0.15,7,15,AP,2.0,4.0,0.15885,0.0011559268034784902,100000
base,False,0.53,0.15,7,15,SL,2.0,4.0,0.05325,0.0007100312493123102,100000
base,False,0.53,0.15,7,15,AP,2.0,5.0,0.1637,0.0011700526056549767,100000
base,False,0.53,0.15,7,15,SL,2.0,5.0,0.0536,0.0007122291765997796,100000
base,False,0.53,0.15,7,15,AP,2.0,6.0,0.16479,0.0011731762693644975,100000
base,False,0.53,0.15,7,15,SL,2.0,6.0,0.05366,0.0007126051108433056,100000
base,False,0.53,0.15,7,15,AP,3.0,4.0,0.04076,0.0006252889124236891,100000
base,False,0.53,0.15,7,15,SL,3.0,4.0,0.006,0.0002442130217658346,100000
base,False,0.53,0.15,7,15,AP,3.0,5.0,0.04925,0.0006842838409607523,100000
base,False,0.53,0.15,7,15,SL,3.0,5.0,0.00674,0.0002587387176284214,100000
base,False,0.53,0.15,7,15,AP,3.0,6.0,0.05128,0.0006974981118254013,100000
base,False,0.53,0.15,7,15,SL,3.0,6.0,0.00682,0.00026025924767431415,100000
base,False,0.53,0.15,7,15,AP,4.0,5.0,0.01202,0.0003446087578689781,100000
base,False,0.53,0.15,7,15,SL,4.0,5.0,0.00102,0.00010094352876732615,100000
base,False,0.53,0.15,7,15,AP,4.0,6.0,0.01498,0.00038413018105845317,100000
base,False,0.53,0.15,7,15,SL,4.0,6.0,0.00118,0.00010856369558927147,100000
base,False,0.53,0.15,10,16,AP,2.0,4.0,0.11639,0.001014117191945783,100000
base,False,0.53,0.15,10,16,SL,2.0,4.0,0.03137,0.0005512342795944388,100000
base,False,0.53,0.15,10,16,AP,2.0,5.0,0.1189,0.0010235369558545505,100000
base,False,0.53,0.15,10,16,SL,2.0,5.0,0.03154,0.0005526773778616237,100000
base,False,0.53,0.15,10,16,AP,2.0,6.0,0.11942,0.0010254699586043465,100000
base,False,0.53,0.15,10,16,SL,2.0,6.0,0.03154,0.0005526773778616237,100000
base,False,0.53,0.15,10,16,AP,3.0,4.0,0.02619,0.0005050156819347296,100000
base,False,0.53,0.15,10,16,SL,3.0,4.0,0.00281,0.00016739485953875646,100000
base,False,0.53,0.15,10,16,AP,3.0,5.0,0.03057,0.0005443847453777521,100000
base,False,0.53,0.15,10,16,SL,3.0,5.0,0.00314,0.00017692202802364662,100000
base,False,0.53,0.15,10,16,AP,3.0,6.0,0.03145,0.0005519139199186772,100000
base,False,0.53,0.15,10,16,SL,3.0,6.0,0.00315,0.00017720263824221128,100000
base,False,0.53,0.15,10,16,AP,4.0,5.0,0.00625,0.00024921752546721107,100000
base,False,0.53,0.15,10,16,SL,4.0,5.0,0.00041,6.401811462390937e-05,100000
base,False,0.53,0.15,10,16,AP,4.0,6.0,0.00758,0.0002742725578689928,100000
base,False,0.53,0.15,10,16,SL,4.0,6.0,0.00044,6.631790105243078e-05,100000
base,False,0.53,0.15,13,17,AP,2.0,4.0,0.08862,0.0008987018170672629,100000
base,False,0.53,0.15,13,17,SL,2.0,4.0,0.01824,0.00042317020689079703,100000
base,False,0.53,0.15,13,17,AP,2.0,5.0,0.08993,0.0009046689731609015,100000
base,False,0.53,0.15,13,17,SL,2.0,5.0,0.01828,0.00042362532502200574,100000
base,False,0.53,0.15,13,17,AP,2.0,6.0,0.09018,0.0009058011238677064,100000
base,False,0.53,0.15,13,17,SL,2.0,6.0,0.01828,0.00042362532502200574,100000
base,False,0.53,0.15,13,17,AP,3.0,4.0,0.01647,0.0004024765719889792,100000
base,False,0.53,0.15,13,17,SL,3.0,4.0,0.00139,0.00011781629344025384,100000
base,False,0.53,0.15,13,17,AP,3.0,5.0,0.01918,0.00043372949634536037,100000
base,False,0.53,0.15,13,17,SL,3.0,5.0,0.0015,0.00012238259680199634,100000
base,False,0.53,0.15,13,17,AP,3.0,6.0,0.01972,0.0004396717138957202,100000
base,False,0.53,0.15,13,17,SL,3.0,6.0,0.0015,0.00012238259680199634,100000
base,False,0.53,0.15,13,17,AP,4.0,5.0,0.0038,0.00019456515618167605,100000
base,False,0.53,0.15,13,17,SL,4.0,5.0,0.00015,3.872692861562868e-05,100000
base,False,0.53,0.15,13,17,AP,4.0,6.0,0.00465,0.0002151366426251,100000
base,False,0.53,0.15,13,17,SL,4.0,6.0,0.00015,3.872692861562868e-05,100000
base,False,0.53,0.2,1,18,AP,2.0,4.0,0.34969,0.0015080016707550426,100000
