rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,AP,A6,T1,sd_err_mm,0.25,2.00748,0.00448888,1.99853,0.00446887,0.00894606,0.0063341,-0.00346878,0.0213609,1.00448
AF_rr0.1,0.05,1,prospective,AP,A6,T2,bias_mm,0.1,0.0855681,0.00597009,0.0760015,0.00595656,0.00956659,0.00843342,-0.00696292,0.0260961,1.12587
AF_rr0.1,0.05,1,prospective,AP,A6,T2,bias_mm,0.15,0.0812206,0.0059581,0.0760015,0.00595656,0.00521912,0.00842494,-0.0112938,0.021732,1.06867
AF_rr0.1,0.05,1,prospective,AP,A6,T2,bias_mm,0.2,0.0754722,0.0059998,0.0760015,0.00595656,-0.00052922,0.00845448,-0.0171,0.0160416,0.993037
AF_rr0.1,0.05,1,prospective,AP,A6,T2,bias_mm,0.25,0.0841048,0.00600001,0.0760015,0.00595656,0.0081033,0.00845463,-0.00846778,0.0246744,1.10662
AF_rr0.1,0.05,1,prospective,AP,A6,T2,relbias_pct,0.1,0.834265,0.0627608,0.752548,0.0621756,0.0817165,0.0883443,-0.0914384,0.254871,1.10859
AF_rr0.1,0.05,1,prospective,AP,A6,T2,relbias_pct,0.15,0.850629,0.0625405,0.752548,0.0621756,0.0980814,0.088188,-0.0747671,0.27093,1.13033
AF_rr0.1,0.05,1,prospective,AP,A6,T2,relbias_pct,0.2,0.762534,0.0628389,0.752548,0.0621756,0.00998564,0.0883998,-0.163278,0.183249,1.01327
AF_rr0.1,0.05,1,prospective,AP,A6,T2,relbias_pct,0.25,0.794497,0.0627014,0.752548,0.0621756,0.041949,0.0883022,-0.131123,0.215021,1.05574
AF_rr0.1,0.05,1,prospective,AP,A6,T2,rmse_mm,0.1,1.88984,0.00518159,1.88515,0.00549562,0.0046815,0.00755319,-0.0101228,0.0194858,1.00248
AF_rr0.1,0.05,1,prospective,AP,A6,T2,rmse_mm,0.15,1.88586,0.00524678,1.88515,0.00549562,0.000702879,0.00759806,-0.0141893,0.0155951,1.00037
AF_rr0.1,0.05,1,prospective,AP,A6,T2,rmse_mm,0.2,1.89879,0.00520684,1.88515,0.00549562,0.0136393,0.00757054,-0.00119895,0.0284776,1.00724
AF_rr0.1,0.05,1,prospective,AP,A6,T2,rmse_mm,0.25,1.89922,0.00530131,1.88515,0.00549562,0.0140687,0.00763582,-0.000897455,0.029035,1.00746
AF_rr0.1,0.05,1,prospective,AP,A6,T2,sd_err_mm,0.1,1.88791,0.00422151,1.88363,0.00421195,0.004276,0.00596336,-0.00741218,0.0159642,1.00227
AF_rr0.1,0.05,1,prospective,AP,A6,T2,sd_err_mm,0.15,1.88412,0.00421303,1.88363,0.00421195,0.000485707,0.00595736,-0.0111907,0.0121621,1.00026
AF_rr0.1,0.05,1,prospective,AP,A6,T2,sd_err_mm,0.2,1.8973,0.00424252,1.88363,0.00421195,0.0136715,0.00597825,0.00195415,0.0253889,1.00726
AF_rr0.1,0.05,1,prospective,AP,A6,T2,sd_err_mm,0.25,1.89737,0.00424267,1.88363,0.00421195,0.0137383,0.00597836,0.00202074,0.0254559,1.00729
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,bias_mm,0.1,0.0335142,0.00477084,0.0298788,0.00475732,0.00363548,0.00673743,-0.00956989,0.0168408,1.12167
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,bias_mm,0.15,0.0343301,0.00475221,0.0298788,0.00475732,0.00445133,0.00672425,-0.00872821,0.0176309,1.14898
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,bias_mm,0.2,0.021936,0.00478522,0.0298788,0.00475732,-0.0079428,0.00674763,-0.0211682,0.00528255,0.734166
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,bias_mm,0.25,0.0313592,0.00476694,0.0298788,0.00475732,0.00148042,0.00673468,-0.0117195,0.0146804,1.04955
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,relbias_pct,0.1,0.322308,0.0541941,0.30053,0.0538504,0.0217786,0.0763993,-0.127964,0.171521,1.07247
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,relbias_pct,0.15,0.387097,0.0542041,0.30053,0.0538504,0.0865674,0.0764064,-0.0631892,0.236324,1.28805
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,relbias_pct,0.2,0.228681,0.0542411,0.30053,0.0538504,-0.0718489,0.0764327,-0.221657,0.0779592,0.760926
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,relbias_pct,0.25,0.287766,0.0541777,0.30053,0.0538504,-0.0127635,0.0763877,-0.162483,0.136956,0.95753
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,rmse_mm,0.1,1.50904,0.00363565,1.50469,0.00362662,0.00434844,0.00513521,-0.00571657,0.0144134,1.00289
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,rmse_mm,0.15,1.50316,0.00360697,1.50469,0.00362662,-0.00152216,0.00511494,-0.0115474,0.00850312,0.998988
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,rmse_mm,0.2,1.51337,0.00365934,1.50469,0.00362662,0.00868477,0.00515201,-0.00141316,0.0187827,1.00577
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,rmse_mm,0.25,1.50776,0.00363474,1.50469,0.00362662,0.00307088,0.00513456,-0.00699286,0.0131346,1.00204
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,sd_err_mm,0.1,1.50867,0.00337351,1.5044,0.00336395,0.00427294,0.00476411,-0.00506471,0.0136106,1.00284
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,sd_err_mm,0.15,1.50278,0.00336034,1.5044,0.00336395,-0.00161756,0.00475479,-0.010937,0.00770183,0.998925
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,sd_err_mm,0.2,1.51322,0.00338368,1.5044,0.00336395,0.00882251,0.00477132,-0.000529268,0.0181743,1.00586
AF_rr0.1,0.05,1,prospective,AP,A6,Tv,sd_err_mm,0.25,1.50744,0.00337075,1.5044,0.00336395,0.00304143,0.00476216,-0.0062924,0.0123753,1.00202
