u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,false_alarm,false_alarm_mcse,n_nonevent_pairs,miss,hit_mcse,n_event_pairs,prev_event,prev_event_mcse,n_pairs,hit,n_fired_pairs,n_fired_event,ppv,ppv_mcse,ppv_mcse_conservative,false_alarm_lo95,false_alarm_hi95,hit_lo95,hit_hi95,ppv_lo95,ppv_hi95,role
base,False,0.53,0.1,3,7,AP,5.0,0.00127,6.502274217533432e-05,300000,,,,0.0,0.0,300000,,381,0,0.0,0.0,0.0,0.0011425577661550632,0.001397442233844937,,,0.0,0.0,t_adj only
base,False,0.53,0.1,3,7,AP,6.0,0.00039666666666666664,3.635516112934642e-05,300000,,,,0.0,0.0,300000,,119,0,0.0,0.0,0.0,0.0003254118596389483,0.000467921473694385,,,0.0,0.0,t_adj only
base,False,0.53,0.1,3,7,SL,2.0,0.03672333333333333,0.000343388653094528,300000,,,,0.0,0.0,300000,,11017,0,0.0,0.0,0.0,0.03605030393525957,0.03739636273140709,,,0.0,0.0,t_warn only
base,False,0.53,0.1,3,7,SL,3.0,0.0042966666666666665,0.00011941810753569748,300000,,,,0.0,0.0,300000,,1289,0,0.0,0.0,0.0,0.004062611474948571,0.004530721858384762,,,0.0,0.0,t_warn only
base,False,0.53,0.1,3,7,SL,4.0,0.00048666666666666666,4.0267018026428785e-05,300000,,,,0.0,0.0,300000,,146,0,0.0,0.0,0.0,0.0004077447609475152,0.0005655885723858181,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,3,7,SL,5.0,3.6666666666666666e-05,1.1055213283367298e-05,300000,,,,0.0,0.0,300000,,11,0,0.0,0.0,0.0,1.4998846618944964e-05,5.833448671438837e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,3,7,SL,6.0,1.3333333333333333e-05,6.666622222074073e-06,300000,,,,0.0,0.0,300000,,4,0,0.0,0.0,0.0,2.669937764681437e-07,2.6399672890198523e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,5,8,AP,2.0,0.04285666666666667,0.0003697745835365509,300000,,,,0.0,0.0,300000,,12857,0,0.0,0.0,0.0,0.04213192179482003,0.043581411538513304,,,0.0,0.0,t_warn only
base,False,0.53,0.1,5,8,AP,3.0,0.007693333333333333,0.0001595216386111464,300000,,,,0.0,0.0,300000,,2308,0,0.0,0.0,0.0,0.007380676664434476,0.00800599000223219,,,0.0,0.0,t_warn only
base,False,0.53,0.1,5,8,AP,4.0,0.0013733333333333334,6.761280176832612e-05,300000,,,,0.0,0.0,300000,,412,0,0.0,0.0,0.0,0.0012408146759282778,0.001505851990738389,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,5,8,AP,5.0,0.0003,3.161803282938393e-05,300000,,,,0.0,0.0,300000,,90,0,0.0,0.0,0.0,0.00023802979390358933,0.00036197020609641064,,,0.0,0.0,t_adj only
base,False,0.53,0.1,5,8,AP,6.0,9.333333333333333e-05,1.7637518931926737e-05,300000,,,,0.0,0.0,300000,,28,0,0.0,0.0,0.0,5.8764431177438475e-05,0.00012790223548922818,,,0.0,0.0,t_adj only
base,False,0.53,0.1,5,8,SL,2.0,0.01597,0.00022887375777926137,300000,,,,0.0,0.0,300000,,4791,0,0.0,0.0,0.0,0.01552141567420793,0.016418584325792074,,,0.0,0.0,t_warn only
base,False,0.53,0.1,5,8,SL,3.0,0.0010133333333333333,5.808919833293418e-05,300000,,,,0.0,0.0,300000,,304,0,0.0,0.0,0.0,0.0008994805958119223,0.0011271860708547442,,,0.0,0.0,t_warn only
base,False,0.53,0.1,5,8,SL,4.0,8.666666666666667e-05,1.6995995170976363e-05,300000,,,,0.0,0.0,300000,,26,0,0.0,0.0,0.0,5.335512798737915e-05,0.00011997820534595418,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,5,8,SL,5.0,1e-05,5.77347382431063e-06,300000,,,,0.0,0.0,300000,,3,0,0.0,0.0,0.0,-1.3158008505911584e-06,2.131580085059116e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.1,5,8,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,7,9,AP,2.0,0.02712,0.00029656087402083235,300000,,,,0.0,0.0,300000,,8136,0,0.0,0.0,0.0,0.02653875136311063,0.027701248636889365,,,0.0,0.0,t_warn only
base,False,0.53,0.1,7,9,AP,3.0,0.003693333333333333,0.00011075035925031608,300000,,,,0.0,0.0,300000,,1108,0,0.0,0.0,0.0,0.0034762666162156466,0.00391040005045102,,,0.0,0.0,t_warn only
base,False,0.53,0.1,7,9,AP,4.0,0.0006,4.470794112906565e-05,300000,,,,0.0,0.0,300000,,180,0,0.0,0.0,0.0,0.0005123740448729119,0.000687625955127088,,,0.0,0.0,t_warn and t_adj
