u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,bias_lo95,bias_hi95,rmse_lo95,rmse_hi95
base,True,3,0.15,0.3,3,A3,SL,T1,0.004681816885713234,0.07342641778893934,0.00538783264427481,0.003310561021007999,0.5249282272505293,9.22514230713865,1.5708178314145753,1.4805204946690056,0.5157520346999392,0.5341044198011194,1.560257873393772,1.5813777894353787
base,True,3,0.15,0.3,3,A3,SL,T2,0.004614858432525441,0.07591671798530088,0.0055484658948815714,0.0032632140079654915,0.7990560169022204,13.822368272270985,1.6637791489420726,1.4593463726014868,0.7900110605093741,0.8081009732950667,1.6529043555328768,1.6746539423512683
base,True,3,0.15,0.3,3,A4,AP,T1,0.006212137660230428,0.0581792672862926,0.006902256804377405,0.00439266662860132,0.41374153313611445,4.622960454140025,2.0075380187067022,1.964450414483735,0.4015659669590186,0.4259170993132103,1.9940098438513674,2.021066193562037
base,True,3,0.15,0.3,3,A4,AP,T2,0.006011066844069027,0.05915547348240173,0.006777760285027765,0.004250487380096861,0.8395740373245301,8.999218650487194,2.078013688985567,1.9008662394778328,0.8277925627085612,0.851355511940499,2.064729522826283,2.0912978551448513
base,True,3,0.15,0.3,3,A4,SL,T1,0.0045605792064249435,0.07259060931537988,0.004698166610933849,0.003224832607204788,0.4715315617528175,8.621554912518677,1.5173033594683398,1.4421817741906036,0.46259299068907606,0.480470132816559,1.5080951220449075,1.5265115968917722
base,True,3,0.15,0.3,3,A4,SL,T2,0.00446396938982019,0.07487836435947974,0.004735810339124366,0.003156518809184534,0.7456593514045085,13.18449756818763,1.5964617792604505,1.411631067710386,0.7369101321033589,0.754408570705658,1.587179761484939,1.605743797035962
base,True,3,0.15,0.3,3,A5,AP,T1,0.006269582406971662,0.05592820814109756,0.007122014167268675,0.004433286401664964,-1.1198827945329501,-10.076302707059481,2.2770297586127923,1.9826160384151186,-1.1321709503456479,-1.1075946387202524,2.2630708672374555,2.290988649988129
base,True,3,0.15,0.3,3,A5,AP,T2,0.006206103805718538,0.05826172454158246,0.007125344732971404,0.004388400027826213,-0.6940502903445346,-6.249412162271903,2.081643517641361,1.9625423421509696,-0.7062140303840059,-0.6818865503050633,2.0676780984771477,2.0956089368055744
base,True,3,0.15,0.3,3,A5,SL,T1,0.004570244183151325,0.06813584261996464,0.004847823869163043,0.0032316668119591317,-0.6441034056158814,-8.59126732125384,1.5822646742428825,1.445238108189392,-0.6530609196860674,-0.6351458915456955,1.5727631139809823,1.5917662345047827
base,True,3,0.15,0.3,3,A5,SL,T2,0.004506911424161481,0.07110592069169508,0.004699508274983439,0.0031868835646893636,-0.3699756159641903,-4.703511680828506,1.4724424276287422,1.4252105312983507,-0.37880900010673557,-0.36114223182164507,1.4632315605920725,1.481653294665412
base,True,3,0.15,0.3,3,A6,AP,T1,0.007729904307859232,0.07262208292051064,0.008178276417900325,0.005465895083554112,-0.24206369191396937,-2.225967437773716,2.4563544411156313,2.444410370798257,-0.2572140260808184,-0.22691335774712035,2.4403253137544976,2.472383568476765
base,True,3,0.15,0.3,3,A6,AP,T2,0.007414395568190238,0.0732635779771399,0.007536260526172283,0.005242795598710331,0.18376881227444636,1.7708258764211857,2.3518167801219176,2.3446377468939428,0.16923686387903394,0.19830076066985877,2.337045980795999,2.3665875794478364
base,True,3,0.15,0.3,3,A6,SL,T1,0.005793786340992138,0.09257890025745101,0.005322442296170732,0.00409684609474322,-0.14338558992222797,-1.990159765739531,1.8377491330276523,1.8321561113908134,-0.15474120257426427,-0.13202997727019167,1.8273173377350804,1.8481809283202242
