u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.53,0.2,10,22,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.06841,0.0007983111667764645,100000,0.06684533885232014,0.06997466114767986
base,False,0.53,0.2,10,22,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01296,0.00035765959235004453,100000,0.012259000074739236,0.013660999925260762
base,False,0.53,0.2,10,22,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00258,0.00016041644554097312,100000,0.002265589541731732,0.0028944104582682676
base,False,0.53,0.2,13,23,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.16908,0.0011852930169371622,100000,0.1667568683573518,0.17140313164264823
base,False,0.53,0.2,13,23,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.06079,0.0007556095281294434,100000,0.0593090325268093,0.06227096747319069
base,False,0.53,0.2,13,23,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02246,0.0004685674807324981,100000,0.02154162460619361,0.02337837539380639
base,False,0.53,0.2,13,23,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.04145,0.0006303324321340288,100000,0.04021457112498486,0.04268542887501514
base,False,0.53,0.2,13,23,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00679,0.00025969012110590577,100000,0.006281016711476784,0.007298983288523216
base,False,0.53,0.2,13,23,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0015,0.00012238259680199634,100000,0.001260134516041572,0.001739865483958428
base,False,0.53,0.25,1,24,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.53557,0.0015771327626423845,100000,0.5324788765620003,0.5386611234379997
base,False,0.53,0.25,1,24,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.42254,0.001562049770013747,100000,0.4194784386845648,0.42560156131543525
base,False,0.53,0.25,1,24,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.324,0.0014799459449588016,100000,0.3210993592259348,0.3269006407740652
base,False,0.53,0.25,1,24,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.40108,0.0015498865558485242,100000,0.3980422781464529,0.4041177218535471
base,False,0.53,0.25,1,24,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.248,0.001365635383255721,100000,0.24532340381169257,0.2506765961883074
base,False,0.53,0.25,1,24,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.14423,0.0011109802297970923,100000,0.14205251874488597,0.14640748125511402
base,False,0.53,0.25,3,25,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.42906,0.0015651438157562392,100000,0.4259923744662951,0.4321276255337049
base,False,0.53,0.25,3,25,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.28541,0.0014281146028943196,100000,0.28261094679045284,0.28820905320954715
base,False,0.53,0.25,3,25,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.17923,0.001212875125888894,100000,0.1768528084167623,0.1816071915832377
base,False,0.53,0.25,3,25,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.24875,0.0013670165964610671,100000,0.2460706966835338,0.25142930331646623
base,False,0.53,0.25,3,25,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.10709,0.0009778636505157557,100000,0.10517342244808055,0.10900657755191946
