cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
8,0.05,2.0,3.0,100,0.0,power_reject_either_unadjusted,0.1055,0.006869124762296867,2000,either_unadjusted,0.09203676275438957,0.11896323724561042,True
9,0.1,0.0,1.0,10,0.0,power_reject_welch_mean,0.0605,0.005331029450303197,2000,welch_mean,0.05005137419446594,0.07094862580553406,True
9,0.1,0.0,1.0,10,0.0,power_reject_f_variance,0.0695,0.005686376262612245,2000,f_variance,0.05835490723482546,0.08064509276517455,True
9,0.1,0.0,1.0,10,0.0,power_reject_either_unadjusted,0.1295,0.007507654427316164,2000,either_unadjusted,0.1147852675980197,0.1442147324019803,True
9,0.1,0.0,1.0,25,0.0,power_reject_welch_mean,0.052,0.004964675215963275,2000,welch_mean,0.04226941530501975,0.061730584694980245,False
9,0.1,0.0,1.0,25,0.0,power_reject_f_variance,0.082,0.006134981662564282,2000,f_variance,0.06997565680071387,0.09402434319928614,True
9,0.1,0.0,1.0,25,0.0,power_reject_either_unadjusted,0.133,0.00759312188760328,2000,either_unadjusted,0.11811775445268553,0.1478822455473145,True
9,0.1,0.0,1.0,50,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean,0.043181480185101026,0.06281851981489897,False
9,0.1,0.0,1.0,50,0.0,power_reject_f_variance,0.088,0.006334666526345329,2000,f_variance,0.0755842816563581,0.1004157183436419,True
9,0.1,0.0,1.0,50,0.0,power_reject_either_unadjusted,0.14,0.00775886589650833,2000,either_unadjusted,0.12479290216201597,0.15520709783798406,True
9,0.1,0.0,1.0,100,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean,0.043181480185101026,0.06281851981489897,False
9,0.1,0.0,1.0,100,0.0,power_reject_f_variance,0.105,0.006854742883580682,2000,f_variance,0.09156495071892568,0.11843504928107432,True
9,0.1,0.0,1.0,100,0.0,power_reject_either_unadjusted,0.152,0.008027951170753344,2000,either_unadjusted,0.1362655047115656,0.1677344952884344,True
10,0.1,0.0,2.0,10,0.0,power_reject_welch_mean,0.0455,0.004659922209651144,2000,welch_mean,0.0363667202262833,0.054633279773716695,False
10,0.1,0.0,2.0,10,0.0,power_reject_f_variance,0.061,0.005351588549206675,2000,f_variance,0.050511079100742685,0.0714889208992573,True
10,0.1,0.0,2.0,10,0.0,power_reject_either_unadjusted,0.1065,0.006897744196474671,2000,either_unadjusted,0.09298066969370071,0.12001933030629929,True
10,0.1,0.0,2.0,25,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean,0.043181480185101026,0.06281851981489897,False
10,0.1,0.0,2.0,25,0.0,power_reject_f_variance,0.0665,0.005571254347092763,2000,f_variance,0.055580542044854686,0.07741945795514532,True
10,0.1,0.0,2.0,25,0.0,power_reject_either_unadjusted,0.119,0.0072401312142805815,2000,either_unadjusted,0.10480960346473377,0.1331903965352662,True
10,0.1,0.0,2.0,50,0.0,power_reject_welch_mean,0.0475,0.004756245893559331,2000,welch_mean,0.03817792927347588,0.05682207072652412,False
10,0.1,0.0,2.0,50,0.0,power_reject_f_variance,0.0575,0.005205465877325487,2000,f_variance,0.04729747427721363,0.06770252572278637,False
10,0.1,0.0,2.0,50,0.0,power_reject_either_unadjusted,0.104,0.0068258332824644935,2000,either_unadjusted,0.09062161249636776,0.11737838750363223,True
