u,view_over,K,axis,beat_cv,bias,bias_adj,bias_adj_mcse,bias_mcse
low,True,1,SL,0.15,0.09869015904422282,-0.11148241188531877,0.006687201040811116,0.00475738398188069
low,True,1,AP,0.2,0.112637785737778,-0.17230090183568342,0.010225430323026297,0.007275909351085796
low,True,1,SL,0.2,0.15318033278187598,-0.11304209855175168,0.007396076308672676,0.005246377333629913
low,True,1,AP,0.25,0.17605970718361513,-0.17355328968235878,0.011553305335876207,0.008195484152549734
low,True,1,SL,0.25,0.21924127468598195,-0.10875402440368334,0.008221079340906236,0.0058258102611216805
low,True,1,AP,0.3,0.26223804818789526,-0.17418305339194373,0.013018285144415685,0.00922061773698343
low,True,1,SL,0.3,0.25983129375045483,-0.11038969594834286,0.009044859735417146,0.006401012305131489
low,True,2,AP,0.05,0.3436038877787432,0.2239905280991153,0.007216438562091727,0.005419457691959592
low,True,2,SL,0.05,0.3928040417996035,0.25059123864652777,0.005603382904364896,0.00414447812374338
low,True,2,AP,0.1,0.5005988194071167,0.3345867089338234,0.0076584934578457445,0.005784374525351682
low,True,2,SL,0.1,0.4740033340104773,0.3017599994876178,0.005830072059717333,0.004327287525476654
low,True,2,AP,0.15,0.7047761987481623,0.4761455748957568,0.00843441570559984,0.006429550069092165
low,True,2,SL,0.15,0.6015363484114107,0.3797565834772938,0.006217355807242352,0.004655547492063421
low,True,2,AP,0.2,0.9232344830671113,0.6278864160848114,0.009394368053447549,0.007232501644050604
low,True,2,SL,0.2,0.7411059787605113,0.46622647613905144,0.006761415329129356,0.005120995847436603
low,True,2,AP,0.25,1.1556757736796743,0.7991831867675987,0.010398662401969346,0.008046848993226656
low,True,2,SL,0.25,0.885475122929941,0.5615509508914518,0.007364812898794908,0.0056266823562930585
low,True,2,AP,0.3,1.4124002954369004,0.9793561155492182,0.01166101535718549,0.009106917742353669
low,True,2,SL,0.3,1.0512945356922652,0.6622005908801618,0.008057990017132352,0.00621085450889767
low,True,3,AP,0.05,0.6059877013732171,0.4964429499745643,0.007330823250474088,0.00563446046245087
low,True,3,SL,0.05,0.5985966363594077,0.4670602202823585,0.005560944251343818,0.004166587114242435
low,True,3,AP,0.1,0.8231338998986126,0.6523002368334205,0.007649596934010843,0.005916147137331734
low,True,3,SL,0.1,0.7304521788402508,0.5522379985365776,0.005753155038463376,0.004351630641265468
low,True,3,AP,0.15,1.0984874542082583,0.862781763381461,0.008327049351771858,0.006525904189827398
low,True,3,SL,0.15,0.88987017843668,0.6668912724287341,0.0060919387067110455,0.004667764619140557
low,True,3,AP,0.2,1.4115406753471325,1.1180539222433015,0.009114214228415306,0.0072463243040511785
low,True,3,SL,0.2,1.0811625281585613,0.8009297983969641,0.006553511064884958,0.005098254344952475
low,True,3,AP,0.25,1.745018517412089,1.3733028421297497,0.01015296375732777,0.008191174844612466
low,True,3,SL,0.25,1.2969639463676186,0.9608835212380181,0.007138981176086265,0.005642076258289094
low,True,3,AP,0.3,2.1033135178170363,1.6545708783948838,0.011334100278798465,0.009274531253243694
low,True,3,SL,0.3,1.5194505514146417,1.1218882187146924,0.007788257327184895,0.006256571643628087
low,True,4,AP,0.05,0.7943106415343939,0.6796880518144174,0.007416424840980484,0.005767674243104567
