rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,estimator,subset,estimand,metric,value,mcse,n
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T1,sd_err_mm,1.69945,0.0038001,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T2,bias_mm,0.0831833,0.00495289,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T2,relbias_pct,0.811479,0.0505922,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T2,rmse_mm,1.56844,0.00463234,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T2,sd_err_mm,1.56624,0.00350224,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,Tv,bias_mm,0.0348963,0.00336325,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,Tv,relbias_pct,0.341713,0.0394925,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,Tv,rmse_mm,1.06412,0.00246444,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,Tv,sd_err_mm,1.06355,0.00237819,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T1,bias_mm,-0.342387,0.00537412,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T1,relbias_pct,-3.16401,0.0515495,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T1,rmse_mm,1.73359,0.00529536,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T1,sd_err_mm,1.69945,0.0038001,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T2,bias_mm,0.0831833,0.00495289,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T2,relbias_pct,0.811479,0.0505922,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T2,rmse_mm,1.56844,0.00463234,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,T2,sd_err_mm,1.56624,0.00350224,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,Tv,bias_mm,0.0348963,0.00336325,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,Tv,relbias_pct,0.341713,0.0394925,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,Tv,rmse_mm,1.06412,0.00246444,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,all,Tv,sd_err_mm,1.06355,0.00237819,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T1,bias_mm,-0.340729,0.00633456,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T1,relbias_pct,-3.13123,0.0626379,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T1,rmse_mm,2.03192,0.00581585,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T1,sd_err_mm,2.00316,0.00447923,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T2,bias_mm,0.0848408,0.00599445,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T2,relbias_pct,0.849983,0.0628479,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T2,rmse_mm,1.8975,0.00535106,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,T2,sd_err_mm,1.89561,0.00423874,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,Tv,bias_mm,0.0365538,0.00476141,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,Tv,relbias_pct,0.376949,0.0543547,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,Tv,rmse_mm,1.50613,0.0035985,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,accepted,Tv,sd_err_mm,1.50569,0.00336684,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T1,bias_mm,-0.340729,0.00633456,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T1,relbias_pct,-3.13123,0.0626379,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T1,rmse_mm,2.03192,0.00581585,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T1,sd_err_mm,2.00316,0.00447923,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T2,bias_mm,0.0848408,0.00599445,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T2,relbias_pct,0.849983,0.0628479,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T2,rmse_mm,1.8975,0.00535106,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,T2,sd_err_mm,1.89561,0.00423874,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,Tv,bias_mm,0.0365538,0.00476141,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,Tv,relbias_pct,0.376949,0.0543547,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,Tv,rmse_mm,1.50613,0.0035985,100000
AF_rr0.1,0.05,0,3,prospective,AP,A6,all,Tv,sd_err_mm,1.50569,0.00336684,100000
AF_rr0.1,0.05,0,3,prospective,SL,A1,accepted,T1,bias_mm,-0.224135,0.00417146,100000
AF_rr0.1,0.05,0,3,prospective,SL,A1,accepted,T1,relbias_pct,-3.22659,0.0683645,100000
AF_rr0.1,0.05,0,3,prospective,SL,A1,accepted,T1,rmse_mm,1.33803,0.00375213,100000
AF_rr0.1,0.05,0,3,prospective,SL,A1,accepted,T1,sd_err_mm,1.31913,0.00294968,100000
