rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.1,0.2,1,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.2,1,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.2,1,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.2,1,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0.2,3,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.2,3,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.2,3,retrospective,AP,0.29365,0.00144021,100000
AF_rr0.1,0.1,0.2,3,retrospective,SL,0.35822,0.00151624,100000
AF_rr0.1,0.1,0.2,5,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.2,5,prospective,SL,7e-05,2.64566e-05,100000
AF_rr0.1,0.1,0.2,5,retrospective,AP,0.73191,0.00140078,100000
AF_rr0.1,0.1,0.2,5,retrospective,SL,0.79569,0.00127502,100000
AF_rr0.1,0.1,0.2,7,prospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.1,0.2,7,prospective,SL,0.00085,9.21563e-05,100000
AF_rr0.1,0.1,0.2,7,retrospective,AP,0.94215,0.000738264,100000
AF_rr0.1,0.1,0.2,7,retrospective,SL,0.96345,0.000593415,100000
AF_rr0.1,0.1,0.2,10,prospective,AP,0.00049,6.99828e-05,100000
AF_rr0.1,0.1,0.2,10,prospective,SL,0.00784,0.0002789,100000
AF_rr0.1,0.1,0.2,10,retrospective,AP,0.99755,0.000156333,100000
AF_rr0.1,0.1,0.2,10,retrospective,SL,0.99884,0.000107641,100000
AF_rr0.1,0.1,0.2,13,prospective,AP,0.00285,0.000168579,100000
AF_rr0.1,0.1,0.2,13,prospective,SL,0.03641,0.00059232,100000
AF_rr0.1,0.1,0.2,13,retrospective,AP,0.99994,2.44942e-05,100000
AF_rr0.1,0.1,0.2,13,retrospective,SL,0.99995,2.23601e-05,100000
AF_rr0.1,0.1,0.25,1,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.25,1,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.25,1,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.25,1,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0.25,3,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.25,3,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.25,3,retrospective,AP,0.26106,0.00138891,100000
AF_rr0.1,0.1,0.25,3,retrospective,SL,0.31233,0.00146554,100000
AF_rr0.1,0.1,0.25,5,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.25,5,prospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.1,0.25,5,retrospective,AP,0.68505,0.00146887,100000
AF_rr0.1,0.1,0.25,5,retrospective,SL,0.74468,0.00137888,100000
AF_rr0.1,0.1,0.25,7,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.25,7,prospective,SL,0.00033,5.74361e-05,100000
AF_rr0.1,0.1,0.25,7,retrospective,AP,0.92171,0.000849474,100000
AF_rr0.1,0.1,0.25,7,retrospective,SL,0.94463,0.000723216,100000
AF_rr0.1,0.1,0.25,10,prospective,AP,0.0001,3.16212e-05,100000
AF_rr0.1,0.1,0.25,10,prospective,SL,0.00323,0.000179432,100000
AF_rr0.1,0.1,0.25,10,retrospective,AP,0.99562,0.000208826,100000
AF_rr0.1,0.1,0.25,10,retrospective,SL,0.99754,0.000156651,100000
AF_rr0.1,0.1,0.25,13,prospective,AP,0.00086,9.26963e-05,100000
AF_rr0.1,0.1,0.25,13,prospective,SL,0.01462,0.000379556,100000
AF_rr0.1,0.1,0.25,13,retrospective,AP,0.99992,2.82831e-05,100000
AF_rr0.1,0.1,0.25,13,retrospective,SL,0.99995,2.23601e-05,100000
AF_rr0.1,0.15,0,1,prospective,AP,0,0,100000
AF_rr0.1,0.15,0,1,prospective,SL,0,0,100000
