u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,0.0,7,A6,AP,T2,0.007459526496319548,0.07454744668944203,0.00775159700290298,0.005274708143594933,0.17188320140596988,1.7537628371596448,2.3651515269257817,2.358909399474541
base,False,0.0,7,A6,SL,T1,0.00576202847018489,0.09260888812255903,0.0050980580204387435,0.004074389776657498,-0.2134573133737022,-3.031020743787966,1.8345648074632714,1.8221133908519862
base,False,0.0,7,A6,SL,T2,0.0056843019766154275,0.09660356014802027,0.005236111371531511,0.004019428571169964,0.11877797422392138,1.8599471796759477,1.8014451953937383,1.797534115430193
base,False,0.0,7,A7,AP,T1,0.0050795261838237436,0.05026536021134647,0.004726870103379126,0.0035917853687681364,0.2701960395096471,3.021664399971944,1.6288458255450535,1.6062872175346166
base,False,0.0,7,A7,AP,T2,0.005299217550852853,0.054701849980075185,0.005510931130205741,0.0037471314008946646,0.786168855599557,8.35449556790586,1.8510008246715497,1.675759727743417
base,False,0.0,7,A7,SL,T1,0.004025390359905914,0.06864949504462908,0.0036013342756439064,0.0028463950524232717,0.3008098660108296,5.521834764357143,1.3079935499398498,1.2729402008587627
base,False,0.0,7,A7,SL,T2,0.0041419636078566455,0.0738078968420432,0.0040282023704940025,0.0029288251987059366,0.6330451536084533,11.023863988565727,1.4547560838592517,1.3098038986355494
base,False,0.0,10,A1,AP,T1,0.005246019169544319,0.04953677999147629,0.004901765995330868,0.003709514276637161,-0.3077408719080234,-2.449712359790137,1.6872310559755086,1.6589369224665074
base,False,0.0,10,A1,AP,T2,0.005031528557482773,0.05073117552106025,0.004820925587930863,0.00355784575200307,0.20827768170321187,2.4467388640411887,1.6046751194221551,1.5911090353827007
base,False,0.0,10,A1,SL,T1,0.003977899075283729,0.06443404710606082,0.0033558845519394897,0.0028128134751113573,-0.10852324339382924,-0.792872234246759,1.2625884428387493,1.257922138017419
base,False,0.0,10,A1,SL,T2,0.003847603440099161,0.06671619412948815,0.003328632504230814,0.00272068008724525,0.22344333456315316,4.21245781373945,1.237059959312708,1.2167190403812582
base,False,0.0,10,A2,AP,T1,0.005402133306264424,0.046810403027206356,0.006142149600689785,0.003819904193301995,-1.398422645738534,-12.517066485258654,2.2076823002722206,1.7083045471651537
base,False,0.0,10,A2,AP,T2,0.005232423577724995,0.04970579661558777,0.005540948509158274,0.0036999006933994367,-0.882404092127299,-8.040765380084988,1.8752160550773214,1.654637618837806
base,False,0.0,10,A2,SL,T1,0.00400157534744011,0.06047399739691477,0.004237276664816339,0.0028295552114152435,-0.8041273369470163,-10.884256431340855,1.4992882603236386,1.265409232669038
base,False,0.0,10,A2,SL,T2,0.0038842946050304953,0.06403394605718551,0.0037653921170879723,0.0027466247885016616,-0.47216075899003396,-6.3011334114648445,1.3159388862908366,1.2283218055000495
base,False,0.0,10,A3,AP,T1,0.005087552372243338,0.04834610688012996,0.004827166875537104,0.0035974607694037866,0.03415344119473294,0.9424363843921115,1.6091797563939783,1.6088253211681751
base,False,0.0,10,A3,AP,T2,0.005044869170966759,0.05079342713943952,0.0052108005491065265,0.00356727903742933,0.5501719948059681,6.075707209616975,1.6875231163989755,1.5953277077820356
