name,table,selector,value,mcse,lo95,hi95
A6 rmse_mm vs Tv AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.14085,0.00672906,2.12766,2.15404
window effect (W0.15 - none) A1 rmse_mm vs Tv AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=rmse_mm,0.170525,0.00618537,0.158402,0.182649
window effect (W0.15 - none) A1 bias_mm vs Tv AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=bias_mm,0.0407613,0.00687647,0.0272834,0.0542392
window effect (W0.15 - none) A1 relbias_pct vs Tv AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=relbias_pct,0.782416,0.0713343,0.6426,0.922231
A1 rmse_mm vs T1 AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,1.81839,0.00596217,1.8067,1.83008
A1 bias_mm vs T1 AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.234883,0.00570211,-0.246059,-0.223707
A1 relbias_pct vs T1 AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-2.16003,0.0532136,-2.26433,-2.05573
A6 rmse_mm vs T1 AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.61188,0.00847277,2.59527,2.62848
A1 rmse_mm vs T1 AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,1.94166,0.00654787,1.92883,1.95449
A1 bias_mm vs T1 AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.186515,0.00611171,-0.198494,-0.174536
