p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.2,True,independent,adj_tol3,icc,0.8258090804802066,0.9085840483701825,-0.08277496788997592,0.0004571031022833766
0.2,True,independent,adj_tol3,loa_width,11.079022533656248,7.826612063603278,3.2524104700529697,0.023197136390018414
0.2,True,independent,adj_tol3,mae,2.2690436054016887,1.5957440077586147,0.6732995976430738,0.003195575518394889
0.2,True,independent,mean2,icc,0.8296961258144514,0.9085840483701825,-0.07888792255573113,0.0004431112374481771
0.2,True,independent,mean2,loa_width,10.919367868129372,7.826612063603278,3.0927558045260937,0.02280261451049936
0.2,True,independent,mean2,mae,2.243367733482093,1.5957440077586147,0.6476237257234781,0.0031558284459566994
0.2,True,independent,single,icc,0.8143512410650341,0.9085840483701825,-0.09423280730514846,0.0004989638594016121
0.2,True,independent,single,loa_width,11.548031732122364,7.826612063603278,3.7214196685190877,0.02404522637426179
0.2,True,independent,single,mae,2.3648644993576817,1.5957440077586147,0.7691204915990673,0.003429982079146432
0.2,True,inherited,adj_tol1,icc,0.8264864262344593,0.9012637141682676,-0.07477728793380825,0.00043085832824886825
0.2,True,inherited,adj_tol1,loa_width,11.335810942011815,7.82716469708025,3.5086462449315663,0.02355471456047168
0.2,True,inherited,adj_tol1,mae,2.278828010752579,1.6709451992409683,0.6078828115116108,0.0029789210022376318
0.2,True,inherited,adj_tol2,icc,0.8303755387155439,0.9012637141682676,-0.07088817545272366,0.00042041274934984617
0.2,True,inherited,adj_tol2,loa_width,11.177961603920771,7.82716469708025,3.3507969068405217,0.023440689969061984
0.2,True,inherited,adj_tol2,mae,2.2459658475184985,1.6709451992409683,0.57502064827753,0.00286550787178476
0.2,True,inherited,adj_tol3,icc,0.8328910786682625,0.9012637141682676,-0.0683726355000051,0.0004108815667290678
0.2,True,inherited,adj_tol3,loa_width,11.077614091583587,7.82716469708025,3.250449394503338,0.023177890349868065
0.2,True,inherited,adj_tol3,mae,2.22496522919788,1.6709451992409683,0.5540200299569119,0.002833527322965807
0.2,True,inherited,mean2,icc,0.8369172783800453,0.9012637141682676,-0.06434643578822236,0.000395065359975823
0.2,True,inherited,mean2,loa_width,10.917867199414065,7.82716469708025,3.0907025023338166,0.022782675506185204
0.2,True,inherited,mean2,mae,2.1972761893918915,1.6709451992409683,0.5263309901509231,0.0027830208488555243
0.2,True,inherited,single,icc,0.8214045555994048,0.9012637141682676,-0.07985915856886278,0.00045794325025590334
0.2,True,inherited,single,loa_width,11.546530376835847,7.82716469708025,3.719365679755596,0.024027476500833422
0.2,True,inherited,single,mae,2.3220265264595583,1.6709451992409683,0.6510813272185899,0.003121011751602984
0.25,False,independent,adj_tol1,icc,0.8078341754863253,0.9089637467388534,-0.10112957125252804,0.0005081902446762068
0.25,False,independent,adj_tol1,loa_width,11.847809056010616,7.827814964721752,4.019994091288863,0.024004518560041314
0.25,False,independent,adj_tol1,mae,2.4288529724987455,1.5949055645554493,0.8339474079432961,0.00352937055981853
