cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,design,n_double,overlap_frac,mcse_ba_bias_empirical_sd,mcse_ba_bias_mean,mcse_icc_ci_width_mean,mcse_icc_empirical_sd,mcse_icc_mean,mcse_loa_ci_width_each_mean,mcse_loa_hi_empirical_sd,mcse_loa_hi_mean,mcse_loa_lo_empirical_sd,mcse_loa_lo_mean,mcse_loa_width_mean,ba_bias_empirical_sd,ba_bias_mean,icc_ci_width_mean,icc_empirical_sd,icc_mean,loa_ci_width_each_mean,loa_hi_empirical_sd,loa_hi_mean,loa_lo_empirical_sd,loa_lo_mean,loa_width_mean,icc_emp95_range,loa_hi_emp95_range
2,0.05,0.0,3.0,overlap,100,0.2,0.0014776288270276349,0.0020891602413351793,0.00012114559373832986,0.00010794325876272602,0.00015261665203221216,0.00181792403112206,0.003982815482615829,0.005631143357965605,0.003922964254161545,0.005546522102211354,0.010367690381211032,0.09343008631030654,-0.0003654369778059818,0.016813808715166773,0.006825224168849157,0.979099831764655,0.6309359957328937,0.2518323867891505,1.798760638186697,0.2480480091849925,-1.799491512142309,3.5982521503290053,0.02675438732574854,0.9871648242816211
2,0.05,0.0,3.0,overlap,150,0.3,0.0011990349869816005,0.0016952675644605272,8.046388050052039e-05,8.888002762023631e-05,0.00012566391272055062,0.0012467758390322793,0.0033413125907727267,0.004724148101899796,0.003292042091777277,0.004654486515925531,0.008744593276464284,0.07581467028368491,-0.0016804091925696674,0.013448019988048978,0.005619861023235035,0.9792724084400227,0.5145261419548111,0.21127032583249095,1.8027024239698959,0.20815496499931288,-1.8060632423550351,3.608765666324931,0.022029450581087663,0.8281644657999045
2,0.05,0.0,3.0,overlap,250,0.5,0.0009423475213032654,0.001332347433277788,4.9656738384372404e-05,7.137781042774172e-05,0.00010091822853724598,0.0008056069164887748,0.0027776175485518828,0.003927162249360308,0.002730904267397676,0.003861116211312991,0.0073185411612070456,0.05958438860912999,-0.0006388050738647349,0.010281218310066969,0.004513200383562824,0.9793465263636576,0.3994690620290063,0.17562803496481258,1.813850813405465,0.1726743663504458,-1.8151284235531944,3.6289792369586595,0.017691420553138656,0.6884492518435479
3,0.05,0.75,1.0,gold,25,,0.016691464233945307,0.02359939303388707,0.008069572423074118,0.0007089531356631859,0.0010023604554174914,0.008312114831227995,0.018572440790152984,0.02625883048139374,0.0184973529633783,0.02615266680927488,0.022787077756999258,1.0553969410301298,0.0008998635463425497,0.35350988079927675,0.04482692232542316,0.9488992966773515,1.3027474257742986,1.1743305993207986,1.7865950501264292,1.1695828155688233,-1.784795323033744,3.5713903731601735,0.17571830797725135,4.60329139753438
3,0.05,0.75,1.0,gold,50,,0.01661259139755248,0.02348787788820282,0.007950920286442993,0.0006088677568582557,0.0008608537452656323,0.004148343296390778,0.017699437202529148,0.025024525659745465,0.017519401786680426,0.024769980793034933,0.016517749096067798,1.0504098321047144,-0.0006930606487117626,0.32614981195172427,0.03849854986198483,0.9523841326962775,0.9025353952314493,1.1191308095975727,1.796151142400236,1.1077472170918052,-1.7975372636976596,3.5936884060978955,0.15091154356339048,4.386912196204194
3,0.05,0.75,1.0,gold,100,,0.016559145188749694,0.023412312433307436,0.007860744179241114,0.0005420193886981314,0.0007663395138133407,0.0020939497087119315,0.017140014262848044,0.02423357996195234,0.017038204769737515,0.024089635595609095,0.011941875393083855,1.0470304422267789,0.0003870154209831149,0.31042315469369114,0.03427174493461538,0.9542188275610555,0.6357452620070633,1.083758642662044,1.8132268054706497,1.0773212548996114,-1.8124527746286834,3.6256795800993333,0.134342772578057,4.248255848612941
3,0.05,0.75,1.0,gold,200,,0.016484164270257368,0.02330629991452891,0.007776563720501114,0.0005262925176126168,0.0007441039204143181,0.0010662591196155971,0.016834703755716805,0.023801913659093635,0.016696611895741006,0.02360667110681222,0.008653182439797577,1.0422894182576836,0.0010078686164086115,0.29766218728110333,0.033277338967410176,0.9553990423891615,0.4480407289318989,1.0644539387262826,1.8190360085798565,1.0557224263462466,-1.8170202713470394,3.636056279926896,0.13044477278384223,4.17258279912344
3,0.05,0.75,1.0,overlap,50,0.1,0.01661259139755248,0.02348787788820282,0.007950920286442993,0.0006088677568582557,0.0008608537452656323,0.004148343296390778,0.017699437202529148,0.025024525659745465,0.017519401786680426,0.024769980793034933,0.016517749096067798,1.0504098321047144,-0.0006930606487117626,0.32614981195172427,0.03849854986198483,0.9523841326962775,0.9025353952314493,1.1191308095975727,1.796151142400236,1.1077472170918052,-1.7975372636976596,3.5936884060978955,0.15091154356339048,4.386912196204194
3,0.05,0.75,1.0,overlap,100,0.2,0.016559145188749694,0.023412312433307436,0.007860744179241114,0.0005420193886981314,0.0007663395138133407,0.0020939497087119315,0.017140014262848044,0.02423357996195234,0.017038204769737515,0.024089635595609095,0.011941875393083855,1.0470304422267789,0.0003870154209831149,0.31042315469369114,0.03427174493461538,0.9542188275610555,0.6357452620070633,1.083758642662044,1.8132268054706497,1.0773212548996114,-1.8124527746286834,3.6256795800993333,0.134342772578057,4.248255848612941
3,0.05,0.75,1.0,overlap,150,0.3,0.01653228214656032,0.023374331853423757,0.007825450954374254,0.0005354989682212826,0.00075712055234761,0.0014296169321227907,0.017042617469840836,0.024095874535621748,0.016772884095671965,0.023714509316720096,0.010026997814028691,1.0453318990578835,0.0006008625807455754,0.3023882045149555,0.033859460444228884,0.9551060763451649,0.517646522962291,1.0776002687791282,1.8159265059596792,1.0605450977047646,-1.814724780798188,3.630651286757867,0.13272664706022524,4.224115466394831
3,0.05,0.75,1.0,overlap,250,0.5,0.01649132045251259,0.02331641775412022,0.007765867852918094,0.0005261458907897117,0.0007438966106196502,0.0008643075125386183,0.016698795796825962,0.02360975883712328,0.01674807297476348,0.02367942986618634,0.007851807099700453,1.0427419017999158,0.000552376051236923,0.29611564874524937,0.0332680677915446,0.9554759895128422,0.40008635010177784,1.0558605138436807,1.8178458732438916,1.0589762969846281,-1.816741121141418,3.6345869943853097,0.13040843044197384,4.138897192310232
4,0.05,0.75,2.0,gold,25,,0.0165208644284869,0.023358188798950633,0.00804296128049529,0.000712493185375875,0.0010073655899795837,0.007092737259771508,0.017986509956065752,0.025430406332949247,0.01780253585857897,0.02517029272195665,0.01944423997141793,1.0446099597145557,0.07766604523520429,0.3521484428189798,0.045050758747770606,0.949016489935635,1.2855897673345122,1.1372823451183134,1.8398429753346064,1.1256497107972658,-1.6845108848641979,3.5243538601988043,0.17659573063663095,4.45806490853494
4,0.05,0.75,2.0,gold,50,,0.0163985998035458,0.023185323740637906,0.007891448758076272,0.0005828500374828779,0.0008240683334659757,0.003743546178861313,0.017344364672185097,0.02452250282449985,0.01710484477195423,0.02418385522679598,0.014905940057027911,1.0368791992881212,0.07440410895283066,0.32338839438396194,0.03685345623469773,0.9529382774597759,0.8961799860341982,1.0966796658802451,1.8585954230021662,1.081534884902588,-1.709787205096505,3.5683826280986715,0.1444628949911662,4.298905329314618
