u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,True,0.64,0.1,3,187,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.02711,0.0005135664309512451,100000,0.02610342828372707,0.028116571716272926
base,True,0.64,0.1,3,187,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.01326,0.00036172050536291135,100000,0.012551040831426887,0.013968959168573112
base,True,0.64,0.1,3,187,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00631,0.0002504033526133386,100000,0.00581921844339855,0.0068007815566014495
base,True,0.64,0.1,3,187,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.00813,0.0002839701234285044,100000,0.007573428781004575,0.008686571218995425
base,True,0.64,0.1,3,187,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.00334,0.0001824512099165144,100000,0.002982402196807189,0.0036975978031928113
base,True,0.64,0.1,3,187,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00154,0.0001240011451560025,100000,0.0012969622195354606,0.0017830377804645393
base,True,0.64,0.15,3,193,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.04641,0.0006652526730498721,100000,0.04510612870991848,0.04771387129008152
base,True,0.64,0.15,3,193,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.02447,0.0004885818160758748,100000,0.02351239722943666,0.025427602770563336
base,True,0.64,0.15,3,193,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.0136,0.0003662654774886653,100000,0.012882132849679404,0.014317867150320594
base,True,0.64,0.15,3,193,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.01562,0.0003921226287782943,100000,0.01485145376400918,0.01638854623599082
base,True,0.64,0.15,3,193,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0067,0.0002579749987886423,100000,0.0061943782894742175,0.007205621710525783
base,True,0.64,0.15,3,193,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00288,0.00016946107517657263,100000,0.002547862393252624,0.003212137606747376
base,True,0.64,0.2,3,199,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.07448,0.0008302573673265417,100000,0.07285272544930521,0.0761072745506948
base,True,0.64,0.2,3,199,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0416,0.0006314225209794152,100000,0.0403624345900911,0.0428375654099089
base,True,0.64,0.2,3,199,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.02428,0.0004867286882853732,100000,0.023326029293193447,0.025233970706806552
base,True,0.64,0.2,3,199,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.02716,0.0005140265985335778,100000,0.026152526371831734,0.028167473628168266
base,True,0.64,0.2,3,199,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.01239,0.0003498069167412217,100000,0.011704391036236208,0.013075608963763792
base,True,0.64,0.2,3,199,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00583,0.00024074906230346982,100000,0.005358140504851442,0.006301859495148558
base,True,0.64,0.25,3,205,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.10972,0.0009883396258371915,100000,0.10778288991358563,0.11165711008641437
base,True,0.64,0.25,3,205,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.06812,0.0007967412729362023,100000,0.06655841578773086,0.06968158421226914
