rhythm_state,p_beat_cv,axis,estimand,W,p_N_beats,rmse_win,smallest_nowin_N_as_good
AF_rr0.1,0.15,SL,Tv,0.1,10,1.02753,7
AF_rr0.1,0.15,SL,Tv,0.1,13,0.92503,10
AF_rr0.1,0.15,SL,Tv,0.15,1,1.7355,1
AF_rr0.1,0.15,SL,Tv,0.15,3,1.28861,3
AF_rr0.1,0.15,SL,Tv,0.15,5,1.15157,5
AF_rr0.1,0.15,SL,Tv,0.15,7,1.0839,5
AF_rr0.1,0.15,SL,Tv,0.15,10,1.02008,7
AF_rr0.1,0.15,SL,Tv,0.15,13,0.974491,7
AF_rr0.1,0.15,SL,Tv,0.2,1,1.73385,1
AF_rr0.1,0.15,SL,Tv,0.2,3,1.27247,3
AF_rr0.1,0.15,SL,Tv,0.2,5,1.13479,5
AF_rr0.1,0.15,SL,Tv,0.2,7,1.05359,5
AF_rr0.1,0.15,SL,Tv,0.2,10,0.98969,7
AF_rr0.1,0.15,SL,Tv,0.2,13,0.946415,10
