cell,u,K,beat_cv,view_over,estimator,axis,estimand,cutoff_mm,metric,value,mcse,n
0,base,1,0.05,False,A6,AP,T1,13.0,specificity,0.9510415123810037,0.0007918005393790953,74267
0,base,1,0.05,False,A6,AP,T1,13.0,ppv,0.8465369518423163,0.0023416115030412904,23693
0,base,1,0.05,False,A6,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A6,AP,T1,13.0,nri_events_vs_A1,-0.014844751875024285,0.0018327748715413913,25733
0,base,1,0.05,False,A6,AP,T1,13.0,nri_nonevents_vs_A1,-0.008092423283557974,0.0006117490742907624,74267
0,base,1,0.05,False,A6,AP,T1,13.0,nri_vs_A1,-0.02293717515858226,0.00193217511102104,100000
0,base,1,0.05,False,A7,AP,T1,13.0,sensitivity,0.8657754634127385,0.0021250706998938934,25733
0,base,1,0.05,False,A7,AP,T1,13.0,specificity,0.9336448220609422,0.0009133354509431516,74267
0,base,1,0.05,False,A7,AP,T1,13.0,ppv,0.818870143713015,0.002334867345786166,27207
0,base,1,0.05,False,A7,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A7,AP,T1,13.0,nri_events_vs_A1,0.07150351688493374,0.001606233291517888,25733
0,base,1,0.05,False,A7,AP,T1,13.0,nri_nonevents_vs_A1,-0.025489113603619374,0.0005783260745737946,74267
0,base,1,0.05,False,A7,AP,T1,13.0,nri_vs_A1,0.04601440328131437,0.0017071749867287546,100000
0,base,1,0.05,False,A1,SL,T1,7.0,sensitivity,0.8212162892371174,0.00189898207355247,40714
0,base,1,0.05,False,A1,SL,T1,7.0,specificity,0.9074317714131498,0.0011903149606505023,59286
0,base,1,0.05,False,A1,SL,T1,7.0,ppv,0.8590036739203042,0.0017639986797561187,38923
0,base,1,0.05,False,A1,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A1,SL,T1,7.0,nri_events_vs_A1,0.0,0.0,40714
0,base,1,0.05,False,A1,SL,T1,7.0,nri_nonevents_vs_A1,0.0,0.0,59286
0,base,1,0.05,False,A1,SL,T1,7.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A2,SL,T1,7.0,sensitivity,0.8212162892371174,0.00189898207355247,40714
0,base,1,0.05,False,A2,SL,T1,7.0,specificity,0.9074317714131498,0.0011903149606505023,59286
0,base,1,0.05,False,A2,SL,T1,7.0,ppv,0.8590036739203042,0.0017639986797561187,38923
0,base,1,0.05,False,A2,SL,T1,7.0,prevalence,0.40714,0.0015536312960287583,100000
0,base,1,0.05,False,A2,SL,T1,7.0,nri_events_vs_A1,0.0,0.0,40714
0,base,1,0.05,False,A2,SL,T1,7.0,nri_nonevents_vs_A1,0.0,0.0,59286
0,base,1,0.05,False,A2,SL,T1,7.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A3,SL,T1,7.0,sensitivity,0.8212162892371174,0.00189898207355247,40714
0,base,1,0.05,False,A3,SL,T1,7.0,specificity,0.9074317714131498,0.0011903149606505023,59286
0,base,1,0.05,False,A3,SL,T1,7.0,ppv,0.8590036739203042,0.0017639986797561187,38923
