cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test
1,0.05,0.0,2.0,50,0.5,power_reject_welch_mean,0.2365,0.009501782727467515,2000,welch_mean
1,0.05,0.0,2.0,50,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
1,0.05,0.0,2.0,50,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
1,0.05,0.0,2.0,100,0.0,power_reject_welch_mean,0.043,0.004536022486716748,2000,welch_mean
1,0.05,0.0,2.0,100,0.0,power_reject_f_variance,0.072,0.005779965397820302,2000,f_variance
1,0.05,0.0,2.0,100,0.0,power_reject_either_unadjusted,0.113,0.0070792301841372555,2000,either_unadjusted
1,0.05,0.0,2.0,100,0.1,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean
1,0.05,0.0,2.0,100,0.1,power_reject_f_variance,0.397,0.010940543862167,2000,f_variance
1,0.05,0.0,2.0,100,0.1,power_reject_either_unadjusted,0.4335,0.011081014168387296,2000,either_unadjusted
1,0.05,0.0,2.0,100,0.2,power_reject_welch_mean,0.091,0.006431135203057078,2000,welch_mean
1,0.05,0.0,2.0,100,0.2,power_reject_f_variance,0.8555,0.00786192565469809,2000,f_variance
1,0.05,0.0,2.0,100,0.2,power_reject_either_unadjusted,0.874,0.007420377348895405,2000,either_unadjusted
1,0.05,0.0,2.0,100,0.3,power_reject_welch_mean,0.1725,0.008448187675472178,2000,welch_mean
1,0.05,0.0,2.0,100,0.3,power_reject_f_variance,0.9945,0.0016537457482938467,2000,f_variance
1,0.05,0.0,2.0,100,0.3,power_reject_either_unadjusted,0.9975,0.001116635571706353,2000,either_unadjusted
1,0.05,0.0,2.0,100,0.5,power_reject_welch_mean,0.3955,0.010933429242465514,2000,welch_mean
1,0.05,0.0,2.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
1,0.05,0.0,2.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
2,0.05,0.0,3.0,10,0.0,power_reject_welch_mean,0.0575,0.005205465877325487,2000,welch_mean
2,0.05,0.0,3.0,10,0.0,power_reject_f_variance,0.0545,0.005075911248239078,2000,f_variance
2,0.05,0.0,3.0,10,0.0,power_reject_either_unadjusted,0.112,0.007051808278732484,2000,either_unadjusted
2,0.05,0.0,3.0,10,0.1,power_reject_welch_mean,0.058,0.0052266624149642565,2000,welch_mean
2,0.05,0.0,3.0,10,0.1,power_reject_f_variance,0.129,0.007495298526409739,2000,f_variance
2,0.05,0.0,3.0,10,0.1,power_reject_either_unadjusted,0.187,0.00871868682772813,2000,either_unadjusted
2,0.05,0.0,3.0,10,0.2,power_reject_welch_mean,0.059,0.0052687284993630104,2000,welch_mean
2,0.05,0.0,3.0,10,0.2,power_reject_f_variance,0.2875,0.010120369311443136,2000,f_variance
2,0.05,0.0,3.0,10,0.2,power_reject_either_unadjusted,0.3465,0.010640435846336371,2000,either_unadjusted
2,0.05,0.0,3.0,10,0.3,power_reject_welch_mean,0.0615,0.005372045699731156,2000,welch_mean
2,0.05,0.0,3.0,10,0.3,power_reject_f_variance,0.494,0.01117953487404552,2000,f_variance
2,0.05,0.0,3.0,10,0.3,power_reject_either_unadjusted,0.551,0.011122027692826521,2000,either_unadjusted
2,0.05,0.0,3.0,10,0.5,power_reject_welch_mean,0.0645,0.005492711079239468,2000,welch_mean
2,0.05,0.0,3.0,10,0.5,power_reject_f_variance,0.8795,0.007279414468211026,2000,f_variance
2,0.05,0.0,3.0,10,0.5,power_reject_either_unadjusted,0.911,0.006367063687446513,2000,either_unadjusted
2,0.05,0.0,3.0,25,0.0,power_reject_welch_mean,0.045,0.004635461142108733,2000,welch_mean
2,0.05,0.0,3.0,25,0.0,power_reject_f_variance,0.052,0.004964675215963275,2000,f_variance
2,0.05,0.0,3.0,25,0.0,power_reject_either_unadjusted,0.0955,0.006571900410079264,2000,either_unadjusted
2,0.05,0.0,3.0,25,0.1,power_reject_welch_mean,0.045,0.004635461142108733,2000,welch_mean
2,0.05,0.0,3.0,25,0.1,power_reject_f_variance,0.204,0.009010660353159474,2000,f_variance
2,0.05,0.0,3.0,25,0.1,power_reject_either_unadjusted,0.2455,0.009623662244696662,2000,either_unadjusted
2,0.05,0.0,3.0,25,0.2,power_reject_welch_mean,0.0555,0.005119558086397693,2000,welch_mean
2,0.05,0.0,3.0,25,0.2,power_reject_f_variance,0.485,0.01117530760203047,2000,f_variance
2,0.05,0.0,3.0,25,0.2,power_reject_either_unadjusted,0.5295,0.011160863541859115,2000,either_unadjusted
2,0.05,0.0,3.0,25,0.3,power_reject_welch_mean,0.0665,0.005571254347092763,2000,welch_mean
2,0.05,0.0,3.0,25,0.3,power_reject_f_variance,0.7915,0.009083714823793183,2000,f_variance
2,0.05,0.0,3.0,25,0.3,power_reject_either_unadjusted,0.8265,0.008467518821945422,2000,either_unadjusted
2,0.05,0.0,3.0,25,0.5,power_reject_welch_mean,0.106,0.0068834584330843464,2000,welch_mean
2,0.05,0.0,3.0,25,0.5,power_reject_f_variance,0.9975,0.001116635571706353,2000,f_variance
2,0.05,0.0,3.0,25,0.5,power_reject_either_unadjusted,0.998,0.0009989994994993746,2000,either_unadjusted
2,0.05,0.0,3.0,50,0.0,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean
2,0.05,0.0,3.0,50,0.0,power_reject_f_variance,0.053,0.005009540897128199,2000,f_variance
2,0.05,0.0,3.0,50,0.0,power_reject_either_unadjusted,0.106,0.0068834584330843464,2000,either_unadjusted
2,0.05,0.0,3.0,50,0.1,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean
2,0.05,0.0,3.0,50,0.1,power_reject_f_variance,0.2665,0.00988629733520088,2000,f_variance
2,0.05,0.0,3.0,50,0.1,power_reject_either_unadjusted,0.3125,0.010364452469860624,2000,either_unadjusted
2,0.05,0.0,3.0,50,0.2,power_reject_welch_mean,0.06,0.0053103672189407005,2000,welch_mean
2,0.05,0.0,3.0,50,0.2,power_reject_f_variance,0.7015,0.010232246820713425,2000,f_variance
2,0.05,0.0,3.0,50,0.2,power_reject_either_unadjusted,0.73,0.009927235264664578,2000,either_unadjusted
2,0.05,0.0,3.0,50,0.3,power_reject_welch_mean,0.083,0.006168914004912048,2000,welch_mean
2,0.05,0.0,3.0,50,0.3,power_reject_f_variance,0.9535,0.004708383480558906,2000,f_variance
2,0.05,0.0,3.0,50,0.3,power_reject_either_unadjusted,0.9635,0.004193313129257102,2000,either_unadjusted
2,0.05,0.0,3.0,50,0.5,power_reject_welch_mean,0.154,0.008071059410015515,2000,welch_mean
2,0.05,0.0,3.0,50,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
2,0.05,0.0,3.0,50,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
2,0.05,0.0,3.0,100,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean
2,0.05,0.0,3.0,100,0.0,power_reject_f_variance,0.051,0.004919298730510275,2000,f_variance
2,0.05,0.0,3.0,100,0.0,power_reject_either_unadjusted,0.1015,0.006752693906878943,2000,either_unadjusted
2,0.05,0.0,3.0,100,0.1,power_reject_welch_mean,0.0585,0.0052477495176503994,2000,welch_mean
2,0.05,0.0,3.0,100,0.1,power_reject_f_variance,0.385,0.010880602005403929,2000,f_variance
2,0.05,0.0,3.0,100,0.1,power_reject_either_unadjusted,0.423,0.011046967909793166,2000,either_unadjusted
2,0.05,0.0,3.0,100,0.2,power_reject_welch_mean,0.0865,0.006285608562422576,2000,welch_mean
2,0.05,0.0,3.0,100,0.2,power_reject_f_variance,0.8725,0.007458007441669657,2000,f_variance
2,0.05,0.0,3.0,100,0.2,power_reject_either_unadjusted,0.89,0.006996427659884721,2000,either_unadjusted
2,0.05,0.0,3.0,100,0.3,power_reject_welch_mean,0.12,0.0072663608498339805,2000,welch_mean
2,0.05,0.0,3.0,100,0.3,power_reject_f_variance,0.9975,0.001116635571706353,2000,f_variance
2,0.05,0.0,3.0,100,0.3,power_reject_either_unadjusted,0.999,0.0007067531393633852,2000,either_unadjusted
2,0.05,0.0,3.0,100,0.5,power_reject_welch_mean,0.234,0.009466889668734923,2000,welch_mean
2,0.05,0.0,3.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
2,0.05,0.0,3.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
3,0.05,0.75,1.0,10,0.0,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean
3,0.05,0.75,1.0,10,0.0,power_reject_f_variance,0.06,0.0053103672189407005,2000,f_variance
3,0.05,0.75,1.0,10,0.0,power_reject_either_unadjusted,0.11,0.006996427659884721,2000,either_unadjusted
3,0.05,0.75,1.0,10,0.1,power_reject_welch_mean,0.0515,0.004942051699446294,2000,welch_mean
3,0.05,0.75,1.0,10,0.1,power_reject_f_variance,0.139,0.0077355995242773526,2000,f_variance
3,0.05,0.75,1.0,10,0.1,power_reject_either_unadjusted,0.1885,0.008745505988792188,2000,either_unadjusted
3,0.05,0.75,1.0,10,0.2,power_reject_welch_mean,0.067,0.005590661857061291,2000,welch_mean
3,0.05,0.75,1.0,10,0.2,power_reject_f_variance,0.249,0.009669513948487793,2000,f_variance
3,0.05,0.75,1.0,10,0.2,power_reject_either_unadjusted,0.3135,0.010373469766669204,2000,either_unadjusted
3,0.05,0.75,1.0,10,0.3,power_reject_welch_mean,0.0915,0.00644700511865781,2000,welch_mean
3,0.05,0.75,1.0,10,0.3,power_reject_f_variance,0.435,0.01108546345445241,2000,f_variance
3,0.05,0.75,1.0,10,0.3,power_reject_either_unadjusted,0.5145,0.011175637565705145,2000,either_unadjusted
3,0.05,0.75,1.0,10,0.5,power_reject_welch_mean,0.164,0.0082796135175502,2000,welch_mean
3,0.05,0.75,1.0,10,0.5,power_reject_f_variance,0.865,0.007641171376170017,2000,f_variance
3,0.05,0.75,1.0,10,0.5,power_reject_either_unadjusted,0.9085,0.006447005118657811,2000,either_unadjusted
3,0.05,0.75,1.0,25,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean
3,0.05,0.75,1.0,25,0.0,power_reject_f_variance,0.088,0.006334666526345329,2000,f_variance
