u,axis,cutoff_mm,estimator,fnr_mcse,fpr_mcse,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,fnr,fpr,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
base,SL,10.0,A2,0.0040081098952030585,0.0004478187849302524,0.003553460456594845,0.0006555523552023181,0.003613423599163894,0.003374619263771781,0.00111709523989676,0.0040081098952030585,0.0004478187849302524,0.37666780704755387,0.0174269485272589,-0.14300376325692782,0.03000527024653042,-0.1129984930103974,0.8595961502170221,0.14615,0.6233321929524461,0.9825730514727411
base,SL,10.0,A3,0.002878934794031487,0.0008998399155970743,0.0023982764349117316,0.0005575559793729738,0.0024622344584518106,0.0034350878027543164,0.00111709523989676,0.002878934794031487,0.0008998399155970743,0.14101950051317136,0.07472038414241378,0.09264454327745467,-0.027288165368624464,0.0653563779088302,0.6630400338016267,0.14615,0.8589804994868286,0.9252796158575862
base,SL,10.0,A4,0.0029479296173696877,0.0008712811011250692,0.0022990256756894784,0.0005046577359698664,0.0023537626235357067,0.0034508080988824726,0.00111709523989676,0.0029479296173696877,0.0008712811011250692,0.1492986657543619,0.06967265913216603,0.08436537803626411,-0.022240440358376763,0.06212493767788735,0.6763681862691764,0.14615,0.8507013342456381,0.930327340867834
base,SL,10.0,A5,0.003990670074283144,0.0004854293882305853,0.0032719064190667797,0.000602013519299586,0.0033268291048008268,0.003496086887334184,0.00111709523989676,0.003990670074283144,0.0004854293882305853,0.3686623332192952,0.020542249809685553,-0.13499828942866918,0.026889968964103766,-0.10810832046456541,0.8402695565066933,0.14615,0.6313376667807048,0.9794577501903144
base,SL,10.0,A6,0.003650632307980887,0.0007988368587880661,0.0031262935127801066,0.0006917581201288732,0.0032019119951702626,0.003709360383217722,0.00111709523989676,0.003650632307980887,0.0007988368587880661,0.2650017105713308,0.05783217192715351,-0.03133766678070475,-0.010399953153364174,-0.04173761993406892,0.6850765306122449,0.14615,0.7349982894286692,0.9421678280728465
base,SL,10.0,A7,0.0029283041938563703,0.0007939588586416799,0.003010596285265165,0.0006808945456704042,0.003086633663908971,0.003413440888032771,0.00111709523989676,0.0029283041938563703,0.0007939588586416799,0.14690386589120763,0.05708262575393808,0.08676017789941841,-0.009650406980148737,0.07710977091926967,0.718948218198593,0.14615,0.8530961341087924,0.9429173742460619
base,SL,13.0,A1,0.0065648267221275845,0.0004570098919973066,0.0,0.0,0.0,0.006604274453825005,0.0006695991151427845,0.0065648267221275845,0.0004570098919973066,0.2826780021253985,0.020315861272889424,0.0,0.0,0.0,0.6354735454716626,0.04705,0.7173219978746015,0.9796841387271106
base,SL,13.0,A2,0.007243503064147289,0.00027186753736728377,0.006648659076704631,0.00040470170778713184,0.006660964719207923,0.00704048338599903,0.0006695991151427845,0.007243503064147289,0.00027186753736728377,0.4439957492029756,0.007093761477517169,-0.16131774707757707,0.013222099795372264,-0.1480956472822048,0.7946537059538274,0.04705,0.5560042507970244,0.9929062385224828
base,SL,13.0,A3,0.005535797081813233,0.000573967229228278,0.004524409432179729,0.000354616170695349,0.0045382852861532985,0.005948221329610425,0.0006695991151427845,0.005535797081813233,0.000573967229228278,0.1747077577045696,0.03244661314864372,0.1079702444208289,-0.012130751875754237,0.09583949254507466,0.5567025089605735,0.04705,0.8252922422954304,0.9675533868513563
base,SL,13.0,A4,0.005677358509537234,0.0005453493168738488,0.00430037459243637,0.00030386360921861764,0.004311096696697911,0.006072427496892813,0.0006695991151427845,0.005677358509537234,0.0005453493168738488,0.18639744952178539,0.02919355684978231,0.09628055260361318,-0.008877695576892806,0.08740285702672038,0.5791225416036309,0.04705,0.8136025504782146,0.9708064431502177
base,SL,13.0,A5,0.007228456517842018,0.00029665589011984323,0.0060978019865967886,0.00037610918410032175,0.0061093900829876915,0.00718275347531467,0.0006695991151427845,0.007228456517842018,0.00029665589011984323,0.4354941551540914,0.008457946377039671,-0.1528161530286929,0.01185791489584973,-0.14095823813284317,0.7671865973425765,0.04705,0.5645058448459086,0.9915420536229603
base,SL,13.0,A6,0.00669892186644981,0.0005159410964910886,0.005571146814271217,0.0004286880272328045,0.005587615793060318,0.006523458884877956,0.0006695991151427845,0.00669892186644981,0.0005159410964910886,0.30286928799149837,0.02604543785088409,-0.02019128586609989,-0.005729576577994649,-0.02592086244409454,0.5692467893092676,0.04705,0.6971307120085016,0.9739545621491159
base,SL,13.0,A7,0.00557788625342528,0.00048594479105643757,0.005479043851994943,0.0004187374434891212,0.005495021617670252,0.006172775045793642,0.0006695991151427845,0.00557788625342528,0.00048594479105643757,0.17810839532412326,0.023033737341938143,0.10456960680127525,-0.0027178760690487443,0.1018517307322265,0.637908281095348,0.04705,0.8218916046758767,0.9769662626580619
low,AP,7.0,A1,0.0009425446913441966,0.0030782315240246334,0.0,0.0,0.0,0.0008027722054142975,0.0012318139433372232,0.0009425446913441966,0.0030782315240246334,0.07841715121639392,0.2293464858199753,0.0,0.0,0.0,0.9460162027105469,0.81347,0.9215828487836061,0.7706535141800247
low,AP,7.0,A2,0.0009377964340348098,0.0027870265847410574,0.0007943932981091567,0.0025774955774534205,0.0026971362894508476,0.0007156938227918387,0.0012318139433372232,0.0009377964340348098,0.0027870265847410574,0.07755664007277463,0.17578941725191655,0.0008605111436193122,0.05355706856805876,0.05441757971167807,0.9581316955450285,0.81347,0.9224433599272254,0.8242105827480835
low,AP,7.0,A3,0.0005923223154707697,0.003544118548907622,0.0007569532126868376,0.0025805550363346107,0.0026892828898702438,0.0009323393087698554,0.0012318139433372232,0.0005923223154707697,0.003544118548907622,0.029404895079105597,0.37468503725942204,0.04901225613728841,-0.14533855143944674,-0.09632629530215833,0.9186796053243973,0.81347,0.9705951049208944,0.625314962740578
low,AP,7.0,A4,0.0006110756849890032,0.0035299748832121115,0.0007424679881358889,0.002526110824822258,0.0026329630860858536,0.0009271138838977395,0.0012318139433372232,0.0006110756849890032,0.0035299748832121115,0.03135948467675509,0.3674475955610358,0.04705766653963883,-0.1381011097410604,-0.09104344320142158,0.9199766491535318,0.81347,0.9686405153232449,0.6325524044389642
low,AP,7.0,A5,0.0009661209402089634,0.0028111814422800445,0.0007356783098785635,0.0023245222867676256,0.0024381604617631654,0.0007264566961503225,0.0012318139433372232,0.0009661209402089634,0.0028111814422800445,0.08278117201617763,0.17970299683696989,-0.004364020799783642,0.04964348898300541,0.045279468183221774,0.9570063490027576,0.81347,0.9172188279838224,0.8202970031630301
