cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A5,0.005628756411379428,0.04131893436328639,0.005401698725467767,0.003980151728942047,-0.3070079041414012,-2.2053993226651336,1.8062425208623176,1.7799690654234703
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A6,0.006616253961330374,0.050972372965563215,0.00631038166512627,0.004678421434274717,0.0863238103229167,0.6469042266229394,2.0940128159813574,2.0922432095915586
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A7,0.005813411918608765,0.0428240081849479,0.0063515590981099036,0.004110723543148056,0.43008725355438254,3.1733936623262906,1.8879928663673657,1.8383622639573096
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A1,0.004411089767585373,0.054534618183225005,0.0038681839849162517,0.0031191270827566125,-0.15656634832063096,-1.738363826868487,1.40366123316246,1.3949090629032554
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A2,0.004218263216509133,0.050806646112316084,0.003813861276241843,0.0029827774391478668,-0.41017834793968505,-4.546124098764742,1.395565455200638,1.3339319534276846
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A3,0.0043035719401934725,0.052746860757564996,0.0038822586861306236,0.0030431001177735795,0.06252650252281008,1.2469723658690917,1.362337765470939,1.3609089405401307
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A4,0.004303567321414444,0.052746197743967535,0.003882284369526038,0.0030430968517872778,0.06245567907125108,1.246542819296128,1.362333057717969,1.3609074799539569
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A5,0.004218263216509133,0.050806646112316084,0.003813861276241843,0.0029827774391478668,-0.41017834793968505,-4.546124098764742,1.395565455200638,1.3339319534276846
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A6,0.005263802666242411,0.06740877623061306,0.0042870685922037416,0.003722089170620218,-0.15185639665813208,-1.7094894149741697,1.6714647793182944,1.664560557899313
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T1,A7,0.004284410573693021,0.05264174444986419,0.003885848080400217,0.0030295509178381403,0.060172873150663934,0.6716475007224205,1.3561783860858783,1.354849584417863
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A1,0.0043678795834462825,0.05556008483930979,0.003913087786391118,0.0030885727157633253,0.058426450161831706,0.6628048811729853,1.3824730656526893,1.3812448029037747
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A2,0.004175641709194963,0.05197384309369201,0.0036959868017232456,0.0029526393316107106,-0.19518554945722236,-2.2013131032123185,1.3347952393869622,1.320453849385454
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A3,0.004277925933007237,0.05391274975413093,0.004016383728733175,0.0030249655615088252,0.2775193010052727,3.7321776325507137,1.3809647680551995,1.3527989609803757
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A4,0.004277675110140991,0.05391179054526764,0.004016250954748323,0.003024788202072427,0.2774484775537137,3.731725037529747,1.3808728377314472,1.3527196438257167
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A5,0.004175641709194963,0.05197384309369201,0.0036959868017232456,0.0029526393316107106,-0.19518554945722236,-2.2013131032123185,1.3347952393869622,1.320453849385454
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A6,0.005228639759749359,0.06881159080573396,0.004330147076081293,0.0036972251166721717,0.06313640182433057,0.6917957271778132,1.6546377973093598,1.6534410705323561
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,T2,A7,0.00433698283485828,0.05432924405757017,0.00415941796180546,0.0030667253060828116,0.2751656716331266,3.168534780475899,1.398799252362803,1.3714743931206068
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A1,0.0049886530143222795,0.049479329233207074,0.004259478043315186,0.003527528013098155,-0.1555254084477267,-1.2768992728318023,1.5851905739514767,1.5775505981522993
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A2,0.0047755093966831055,0.04594806508290684,0.004313981977071081,0.0033768119621167235,-0.4558103529172806,-4.031855806849611,1.5774312257963712,1.510148668105516
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A3,0.004845436858030099,0.047746334635839265,0.00423704605558019,0.003426258391459108,0.09295372983606986,1.5039763039523313,1.5350709273996928,1.5322616729905048
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A4,0.0048450950166881186,0.04774573840175432,0.004237395424516883,0.0034260166719195023,0.09258780437953743,1.5014302056752054,1.534940910474311,1.5321535732665978
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,T1,A5,0.0047755093966831055,0.04594806508290684,0.004313981977071081,0.0033768119621167235,-0.4558103529172806,-4.031855806849611,1.5774312257963712,1.510148668105516
