cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A1,0.0,0.0,0.0,0.002507596139855451,0.001381691904514172,0.0023876930575501983,0.0009852331110573982,0.0,0.0,0.0,0.7840457533330858,0.25691,0.8217663773305827,0.921745683564575
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A2,0.0031188443674353143,0.0009463966432878522,0.0032592724333368483,0.0022210945401586156,0.001381691904514172,0.003094784948143663,0.00036836898513561544,-0.38453154801292283,0.06806712511270506,-0.31646442290021776,0.9368640533778149,0.25691,0.4372348293176599,0.98981280867728
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A3,0.0011713556809821973,0.0005024153855687701,0.0012745569234151463,0.0025202214128214563,0.001381691904514172,0.0021754219487391206,0.001087579516683554,0.03658868864582928,-0.01912285187527756,0.01746583677055172,0.7529363561868342,0.25691,0.858355065976412,0.9026228316892974
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A4,0.0010953911380424503,0.00043762290390735373,0.0011795743093702233,0.0025122920816846176,0.001381691904514172,0.0022054614390727054,0.001063854019393959,0.03183994394924292,-0.0144397044772504,0.017400239471992523,0.7609827191338746,0.25691,0.8536063212798256,0.9073059790873246
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A5,0.002979965536770061,0.0008890512587215443,0.0031097599169343667,0.0024603266766734084,0.001381691904514172,0.0031192140119749175,0.00048221758936342276,-0.328052625433031,0.060665599052604664,-0.26738702638042633,0.9065828032306483,0.25691,0.4937137518975517,0.9824112826171796
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A6,0.002162129947822234,0.0009096424826654037,0.0023456886744705604,0.0026287273070896653,0.001381691904514172,0.002534374900498323,0.0010547823636838712,-0.03024405433809505,-0.012690252863044857,-0.04293430720113991,0.7505628760196361,0.25691,0.7915223229924876,0.90905543070153
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,13.0,A7,0.0020992523619082766,0.001073001563484243,0.002357581988864249,0.002555002164737073,0.001381691904514172,0.0021280147722693584,0.0011767982290604398,0.0438285781012806,-0.038218789110336576,0.005609788990944026,0.7198394458291523,0.25691,0.8655949554318633,0.8835268944542384
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A1,0.0,0.0,0.0,0.0019096140272416488,0.0015531690928549924,0.0017773244385930979,0.0014206383491078007,0.0,0.0,0.0,0.8067504034804575,0.40637,0.8487585205600807,0.8608223977898691
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A2,0.002393320316423968,0.0013439579089707518,0.0027448506331115285,0.0016205643501195053,0.0015531690928549924,0.0024743192310791775,0.0006480884546706816,-0.3139749489381598,0.11358927277934067,-0.20038567615881914,0.9346694765816524,0.40637,0.5347835716219209,0.9744116705692097
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A3,0.0009412870971547564,0.000728833908502222,0.0011904706067151147,0.0019292035087037209,0.0015531690928549924,0.001575570883935512,0.0015480853015852395,0.03740433594999631,-0.0325960615198019,0.004808274430194409,0.7793239265927978,0.40637,0.886162856510077,0.8282263362700673
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A4,0.0009207903841795369,0.0007060440101624489,0.001160324556270258,0.001927661091200846,0.0015531690928549924,0.001585609523622755,0.0015406437127231975,0.035730984078549105,-0.030524063810791233,0.005206920267757872,0.781080904882978,0.40637,0.8844895046386299,0.8302983339790779
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A5,0.0022768477524474566,0.0012491435340010201,0.002596997353938119,0.001834707298466465,0.0015531690928549924,0.0024566218861876666,0.0008129058386363195,-0.27979427615227503,0.09827670434445698,-0.18151757180781805,0.9049669262984853,0.40637,0.5689642444078057,0.9590991021343261
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A6,0.0016530723195837627,0.0012849483747287712,0.002093738383727096,0.001992843334779813,0.0015531690928549924,0.0019218566631875435,0.0014675381209357863,-0.03267957772473362,-0.01132018260532655,-0.04399976033006017,0.7877758510107609,0.40637,0.8160789428353471,0.8495022151845426
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,7.0,A7,0.0016517497912614742,0.0015874608541510133,0.0022909188847259933,0.0020176601638057347,0.0015531690928549924,0.0016442265706941637,0.0017217269596676078,0.025592440386839575,-0.08874214578104206,-0.06314970539420248,0.724220867899146,0.40637,0.8743509609469203,0.772080252008827
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A1,0.0,0.0,0.0,0.003568177861890174,0.001108026371076068,0.003328515014147377,0.0007805551158733638,0.0,0.0,0.0,0.7083256301226352,0.14331,0.8020375409950457,0.944752477558977
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A2,0.004212618561801016,0.0007479747534874485,0.004278506910019554,0.003644615449355247,0.001108026371076068,0.004119028297391381,0.0002955622235651193,-0.3848300886190775,0.04770687179726622,-0.3371232168218113,0.9024905660377358,0.14331,0.4172074523759682,0.9924593493562432
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A3,0.001677055932708682,0.0004146478002532441,0.0017275559034914735,0.0034995073205838414,0.001108026371076068,0.0030301608356633086,0.0008728762694118677,0.04207661712371782,-0.014952900115561055,0.027123717008156762,0.6679366131080559,0.14331,0.8441141581187636,0.9297995774434159
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A4,0.0015977272568316317,0.0003811827833782234,0.0016425689335813887,0.0035072364938161303,0.001108026371076068,0.003061877207212042,0.0008592477261277143,0.038029446654106486,-0.012606660518974192,0.025422786135132294,0.6743782209276271,0.14331,0.8400669876491522,0.9321458170400028
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A5,0.004012253346908088,0.000699497380195001,0.00407277221369853,0.0039265447644319775,0.001108026371076068,0.00416999205054675,0.00038688710153959545,-0.33033284488172493,0.04225565840619127,-0.28807718647553365,0.8586307633684745,0.14331,0.4717046961133208,0.9870081359651682
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A6,0.0030322624620996554,0.000724078738294419,0.0031175159435532485,0.0036610689302517176,0.001108026371076068,0.0035089437186807504,0.0008457435648113071,-0.030842230130486356,-0.010330457925270518,-0.04117268805575687,0.6629874025194961,0.14331,0.7711953108645594,0.9344220196337065
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,10.0,A7,0.0029971299066996753,0.0009619398913985709,0.003147716002484579,0.0034062227612914817,0.001108026371076068,0.0029937637921524174,0.0010398493239923046,0.04661223920173052,-0.04805705681168217,-0.0014448176099516458,0.5788121073672188,0.14331,0.8486497801967762,0.8966954207472948
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,13.0,A1,0.0,0.0,0.0,0.006385905902225559,0.0006646386807882911,0.006188731597561482,0.0004923297953404125,0.0,0.0,0.0,0.6121607694950189,0.04632,0.7694300518134715,0.9763232950255851
2,0.03,0.5,2.4,40.0,2.4/40,SL,T1,13.0,A2,0.00753539208592087,0.0004748874052087634,0.007550341180117942,0.00795664395308746,0.0006646386807882911,0.007006000502551351,0.00016852202819190806,-0.4199050086355786,0.020960909319687946,-0.39894409931589064,0.8620873269435569,0.04632,0.3495250431778929,0.9972842043452731
