cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ref,metric,value,mcse,n,mci_lo,mci_hi
10,0.15,True,0.5,single,ref_ba_bias_vs_T1,0.4143992116351724,0.008624625541269602,2000,0.3974952560608035,0.4313031672095413
10,0.15,True,0.5,single,ref_mae_vs_T1,1.5016752422680661,0.003098655198138193,2000,1.4956019896313024,1.5077484949048299
11,0.15,True,1.0,R_img,ref_ba_bias_vs_T1,0.21206814573834532,0.0027754081337124513,2000,0.20662844571096173,0.2175078457657289
11,0.15,True,1.0,R_img,ref_mae_vs_T1,1.2704600885500112,0.0019265094103333544,2000,1.2666841994600966,1.274235977639926
11,0.15,True,1.0,adj_tol1,p_adjudicated,0.5212925,0.002052757993423672,2000,0.5172691682321774,0.5253158317678227
11,0.15,True,1.0,adj_tol1,ref_ba_bias_vs_T1,0.41821015753353025,0.008875359461348582,2000,0.40081477250222763,0.43560554256483286
11,0.15,True,1.0,adj_tol1,ref_mae_vs_T1,1.4363920850631589,0.0030706592579220807,2000,1.4303737034613648,1.4424104666649529
11,0.15,True,1.0,adj_tol2,p_adjudicated,0.21066250000000003,0.0018854911390119673,2000,0.20696700524521758,0.21435799475478248
11,0.15,True,1.0,adj_tol2,ref_ba_bias_vs_T1,0.41558847804808713,0.008831225250484994,2000,0.39827959448124556,0.4328973616149287
11,0.15,True,1.0,adj_tol2,ref_mae_vs_T1,1.3877944914221112,0.0029438693753527003,2000,1.3820246134257175,1.393564369418505
11,0.15,True,1.0,adj_tol3,p_adjudicated,0.071975,0.0009655326582550581,2000,0.07008259074899578,0.07386740925100421
11,0.15,True,1.0,adj_tol3,ref_ba_bias_vs_T1,0.4132089480292825,0.008757437945450999,2000,0.39604468492396455,0.4303732111346004
11,0.15,True,1.0,adj_tol3,ref_mae_vs_T1,1.3621153926861072,0.00284919280074592,2000,1.356531077367586,1.3676997080046283
11,0.15,True,1.0,mean2,ref_ba_bias_vs_T1,0.413393840404472,0.008699084437664505,2000,0.39634394807368933,0.4304437327352547
11,0.15,True,1.0,mean2,ref_mae_vs_T1,1.34182142491232,0.002782461873974537,2000,1.3363678998079573,1.3472749500166825
11,0.15,True,1.0,single,ref_ba_bias_vs_T1,0.4141811417082713,0.008797877182806895,2000,0.39693761915354836,0.43142466426299425
11,0.15,True,1.0,single,ref_mae_vs_T1,1.5036341247333798,0.0031214232373613887,2000,1.497516247559388,1.5097520019073716
12,0.3,False,0.0,R_img,ref_ba_bias_vs_T1,0.8085661008747504,0.004047807845685799,2000,0.8006325432182887,0.8164996585312122
12,0.3,False,0.0,R_img,ref_mae_vs_T1,1.8968521788682655,0.003009304163094416,2000,1.8909540510435503,1.9027503066929807
12,0.3,False,0.0,adj_tol1,p_adjudicated,0.5872375,0.0015294149541331035,2000,0.5842399017488374,0.5902350982511625
12,0.3,False,0.0,adj_tol1,ref_ba_bias_vs_T1,1.033630825311453,0.00887889061092078,2000,1.0162285193541103,1.0510331312687957
12,0.3,False,0.0,adj_tol1,ref_mae_vs_T1,2.0280277907780433,0.004040495590081825,2000,2.020108564879324,2.0359470166767624
12,0.3,False,0.0,adj_tol2,p_adjudicated,0.29660000000000003,0.0014603120404995,2000,0.29373784097185446,0.2994621590281456
12,0.3,False,0.0,adj_tol2,ref_ba_bias_vs_T1,1.034047248539912,0.00888695381944325,2000,1.0166291389841406,1.0514653580956832
12,0.3,False,0.0,adj_tol2,ref_mae_vs_T1,1.982585004474616,0.004047801622492771,2000,1.9746514590153885,1.9905185499338436
12,0.3,False,0.0,adj_tol3,p_adjudicated,0.1428825,0.0008968160270468987,2000,0.14112477287236505,0.14464022712763494
12,0.3,False,0.0,adj_tol3,ref_ba_bias_vs_T1,1.0318488483522192,0.00882622642036259,2000,1.0145497623124597,1.0491479343919787
12,0.3,False,0.0,adj_tol3,ref_mae_vs_T1,1.9500738567642457,0.004027759436967255,2000,1.9421795932671295,1.957968120261362
12,0.3,False,0.0,mean2,ref_ba_bias_vs_T1,1.0231841203015322,0.00876613175754013,2000,1.0060028176374969,1.0403654229655674
12,0.3,False,0.0,mean2,ref_mae_vs_T1,1.8829608233889907,0.004014022599242978,2000,1.875093483599288,1.8908281631786934
12,0.3,False,0.0,single,ref_ba_bias_vs_T1,1.026418231309339,0.008939225104290365,2000,1.0088976719170337,1.0439387907016444
12,0.3,False,0.0,single,ref_mae_vs_T1,2.083137467520002,0.004151016305793165,2000,2.0750016249972343,2.09127331004277
13,0.3,False,0.5,R_img,ref_ba_bias_vs_T1,0.7972773351350143,0.003953978049760067,2000,0.7895276805006943,0.8050269897693343
13,0.3,False,0.5,R_img,ref_mae_vs_T1,1.886284288465148,0.0029776109496220415,2000,1.880448278197883,1.892120298732413
13,0.3,False,0.5,adj_tol1,p_adjudicated,0.589795,0.0015690594192797845,2000,0.5867197000243507,0.5928702999756492
