axis,cutoff_mm,estimator,prevalence_min,prevalence_max,sensitivity_min,sensitivity_min_mcse,sensitivity_min_combo,sensitivity_max,sensitivity_max_mcse,sensitivity_max_combo,sensitivity_range,specificity_min,specificity_min_mcse,specificity_min_combo,specificity_max,specificity_max_mcse,specificity_max_combo,specificity_range,ppv_min,ppv_min_mcse,ppv_min_combo,ppv_max,ppv_max_mcse,ppv_max_combo,ppv_range
AP,10.0,A4,0.49895,0.50297,0.7428872497365648,0.0019487324553932222,20/40,0.9377316530763529,0.001081598606948007,2.4/8,0.19484440333978803,0.7841755345698485,0.0018382072355628712,2.4/8,0.9093616079512303,0.0012877545772029858,20/40,0.12518607338138188,0.812375249500998,0.001626505823040219,2.4/8,0.8924050632911392,0.0015143471676744209,20/40,0.08002981379014118
AP,10.0,A5,0.49895,0.50297,0.4755552020995288,0.002226790287142818,20/40,0.8483962094043636,0.0016052680168931173,2.4/8,0.37284100730483477,0.9061632758999341,0.0013029481622823778,2.4/8,0.9809870631551415,0.000612583001456832,20/40,0.07482378725520744,0.9000977766441355,0.0013825188747603266,2.4/8,0.9619932432432432,0.0012126372866988063,20/40,0.06189546659910772
AP,10.0,A6,0.49895,0.50297,0.596856542196416,0.002194920419488541,20/8,0.8357182828363579,0.0016564688621409248,2.4/40,0.2388617406399418,0.8455820645006594,0.0016152586165511596,2.4/20,0.9368984384360398,0.0010865327544522815,20/20,0.09131637393538039,0.8433883878812443,0.0016360787804472535,2.4/20,0.9043959701086134,0.0016173796219298246,20/20,0.06100758222736913
AP,10.0,A7,0.49895,0.50297,0.8903513131995944,0.00139319330297168,20/40,0.9052150742291587,0.0013111086692907752,2.4/8,0.014863761029564326,0.7907369776472245,0.0018246138599865983,20/40,0.869846467147164,0.001503442325205511,2.4/8,0.07910948949993946,0.8115180399760796,0.0016648738443581612,20/40,0.8739095955590801,0.0014599056898623598,2.4/8,0.06239155558300047
AP,13.0,A1,0.25447,0.25718,0.5255331637644297,0.0031236693198055357,20/20,0.8262908962983231,0.002368656248507841,2.4/20,0.3007577325338934,0.9215365205486806,0.0009851320146820894,2.4/8,0.9719260123670409,0.0006049731398867956,20/8,0.05038949181836028,0.7814579439252336,0.0025267276003571757,2.4/8,0.8662065472044577,0.0027089179076276743,20/40,0.08474860327922407
AP,13.0,A2,0.25447,0.25718,0.33853293296416176,0.0029550862354730313,20/40,0.8067780654271594,0.0024727844633108302,2.4/8,0.4682451324629976,0.9487021179502322,0.00080820033914323,2.4/8,0.994163293301236,0.0002793520529332353,20/40,0.0454611753510038,0.8432964329643297,0.002327682131373121,2.4/8,0.9523861766319254,0.002230461510763676,20/40,0.10908974366759572
AP,13.0,A3,0.25447,0.25718,0.7026478961119994,0.002854433743822055,20/40,0.9161371303051699,0.0017359855725526214,2.4/8,0.21348923419317045,0.8618768958204709,0.0012640380883608456,2.4/8,0.9426550291162903,0.0008526349545671802,20/40,0.0807781332958194,0.6941480666924242,0.0025119355954498507,2.4/8,0.808634772462077,0.0026353034735297847,20/40,0.11448670576965281
AP,13.0,A4,0.25447,0.25718,0.6706313613851733,0.0029349360019535376,20/40,0.9062132266415627,0.0018258580260361705,2.4/8,0.23558186525638936,0.8753925858320135,0.001209978768523212,2.4/8,0.9514773323291688,0.000787971714567638,20/40,0.07608474649715524,0.7133417729335845,0.0025127291211838433,2.4/8,0.8265801490026436,0.0026248713936284063,20/40,0.11323837606905918
AP,13.0,A5,0.25447,0.25718,0.38610926958624187,0.003040298573581209,20/40,0.7952459402212285,0.0025272488079604513,2.4/8,0.40913667063498665,0.9476418006603495,0.0008160538756888143,2.4/8,0.9909625186599782,0.0003470494746147004,20/40,0.043320717999628666,0.8386349534643226,0.002365963127758277,2.4/8,0.9364418802610422,0.002372612523710366,20/40,0.09780692679671965
AP,13.0,A6,0.25447,0.25718,0.5182156133828997,0.003125673890503358,20/20,0.7957237227846616,0.0025206606679523814,2.4/20,0.27750810940176196,0.9074673797653762,0.0010622502998190663,2.4/20,0.9632346027268454,0.0006897121906933526,20/20,0.05576722296146919,0.7469236471460341,0.002646932798996891,2.4/8,0.8299652863873047,0.0029577036315927966,20/40,0.08304163924127062
