cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,test,w_anchor,min_n_any,min_n_strict,min_n_liberal,max_power_tested,power_at_min_n_any,mcse_power_any,power_mci_lo_any,size_at_min_n_any,power_at_min_n_strict,mcse_power_strict,power_mci_lo_strict,size_at_min_n_strict,power_at_min_n_liberal,mcse_power_liberal,power_mci_lo_liberal,size_at_min_n_liberal
5,0.05,0.75,3.0,f_variance,0.2,100.0,100.0,100.0,0.8905,0.8905,0.006982469119158352,0.8768146118953378,0.056,0.8905,0.006982469119158352,0.8768146118953378,0.056,0.8905,0.006982469119158352,0.8768146118953378,0.056
5,0.05,0.75,3.0,f_variance,0.3,25.0,25.0,25.0,0.995,0.805,0.00885931712944062,0.787636057361713,0.056,0.805,0.00885931712944062,0.787636057361713,0.056,0.805,0.00885931712944062,0.787636057361713,0.056
5,0.05,0.75,3.0,f_variance,0.5,10.0,10.0,10.0,1.0,0.8815,0.007226954752867907,0.8673354288547499,0.057,0.8815,0.007226954752867907,0.8673354288547499,0.057,0.8815,0.007226954752867907,0.8673354288547499,0.057
5,0.05,0.75,3.0,welch_mean,0.1,,,,0.058,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.2,,,,0.0965,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.3,,,,0.1615,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.5,,,,0.318,,,,,,,,,,,,
6,0.05,2.0,1.0,bf,0.1,,,,0.1995,,,,,,,,,,,,
6,0.05,2.0,1.0,bf,0.2,,,,0.647,,,,,,,,,,,,
6,0.05,2.0,1.0,bf,0.3,50.0,50.0,50.0,0.967,0.8325,0.008349962574766428,0.8161343739521105,0.0525,0.8325,0.008349962574766428,0.8161343739521105,0.0525,0.8325,0.008349962574766428,0.8161343739521105,0.0525
6,0.05,2.0,1.0,bf,0.5,25.0,25.0,25.0,1.0,0.969,0.003875499967746099,0.9614041595812165,0.0495,0.969,0.003875499967746099,0.9614041595812165,0.0495,0.969,0.003875499967746099,0.9614041595812165,0.0495
6,0.05,2.0,1.0,bf_onesided,0.1,,,,0.3025,,,,,,,,,,,,
6,0.05,2.0,1.0,bf_onesided,0.2,,,,0.7555,,,,,,,,,,,,
6,0.05,2.0,1.0,bf_onesided,0.3,50.0,50.0,50.0,0.9815,0.8875,0.007065541380531291,0.8736517932536483,0.0495,0.8875,0.007065541380531291,0.8736517932536483,0.0495,0.8875,0.007065541380531291,0.8736517932536483,0.0495
6,0.05,2.0,1.0,bf_onesided,0.5,25.0,25.0,25.0,1.0,0.982,0.002972877394041,0.9761732673312659,0.0395,0.982,0.002972877394041,0.9761732673312659,0.0395,0.982,0.002972877394041,0.9761732673312659,0.0395
6,0.05,2.0,1.0,either_unadjusted,0.1,,,,0.508,,,,,,,,,,,,
6,0.05,2.0,1.0,either_unadjusted,0.2,100.0,,,0.904,0.904,0.006587260432076448,0.8910892066945058,0.1365,,,,,,,,
6,0.05,2.0,1.0,either_unadjusted,0.3,25.0,,,0.995,0.8455,0.008081761874739938,0.8296600376689373,0.1225,,,,,,,,
6,0.05,2.0,1.0,either_unadjusted,0.5,10.0,,,1.0,0.9265,0.005835141386461857,0.9150633329476247,0.1265,,,,,,,,
6,0.05,2.0,1.0,f_variance,0.1,,,,0.386,,,,,,,,,,,,
6,0.05,2.0,1.0,f_variance,0.2,100.0,,,0.8085,0.8085,0.00879851549978745,0.7912552263669745,0.092,,,,,,,,
6,0.05,2.0,1.0,f_variance,0.3,50.0,,,0.981,0.9125,0.006318375978050056,0.900116210544557,0.0925,,,,,,,,
6,0.05,2.0,1.0,f_variance,0.5,10.0,,10.0,1.0,0.8445,0.008103078118838543,0.8286182585978887,0.0735,,,,,0.8445,0.008103078118838543,0.8286182585978887,0.0735
