p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.3,False,2.0,single,ba_bias,-1.028575121860554,-0.9911915984464751,0.009645235757099094,3.875853774394677
0.3,False,2.0,single,icc,0.7764886367286622,0.7769618951755133,0.0007981029534213547,0.5929791950052257
0.3,False,2.0,single,mae,2.665397057101902,2.6736985589287086,0.004214373857928183,1.9698066917318404
0.3,False,3.0,adj_tol1,ba_bias,-1.036866161138276,-0.9941871868596829,0.01033136029318955,4.1310120901239955
0.3,False,3.0,adj_tol1,icc,0.7146633034122041,0.715057087519654,0.000953628874559519,0.41293224015666974
0.3,False,3.0,adj_tol1,mae,3.200717585191018,3.2088511431364726,0.004494723381294265,1.8095792010925924
0.3,False,3.0,adj_tol2,ba_bias,-1.0372825843667346,-0.996547372387424,0.010248577808013184,3.9747185163057916
0.3,False,3.0,adj_tol2,icc,0.7180989176913388,0.7185697673607315,0.0009438389006489467,0.4988665640597834
0.3,False,3.0,adj_tol2,mae,3.172473266871485,3.182143991025417,0.004466124237349241,2.1653504560078245
0.3,False,3.0,adj_tol3,ba_bias,-1.0350841841790417,-0.9946481194330654,0.010171838991681647,3.9752953992925155
0.3,False,3.0,adj_tol3,icc,0.7203204656485364,0.7210355916829438,0.0009380522613697979,0.762352017960299
0.3,False,3.0,adj_tol3,mae,3.1530447114325035,3.1632349934131736,0.004436552712932864,2.2968918978387607
0.3,False,3.0,mean2,ba_bias,-1.0264194561283548,-0.9908108862759005,0.010062426554392207,3.5387656903603752
0.3,False,3.0,mean2,icc,0.7266637175590448,0.7275908844808728,0.000922103436160247,1.0054912339215172
0.3,False,3.0,mean2,mae,3.1045594634002778,3.1150127558947323,0.004309161270877244,2.4258299556113934
0.3,False,3.0,single,ba_bias,-1.029653567136162,-0.9902347350314072,0.010247542106598635,3.8466621258742624
0.3,False,3.0,single,icc,0.7110442502948099,0.7112985471908875,0.000965657941410309,0.2633405527698521
0.3,False,3.0,single,mae,3.229016759834896,3.2374065685374265,0.00457879428492705,1.832318331083124
0.3,True,1.0,adj_tol1,ba_bias,-1.1004021929101118,-1.0920166728674876,0.009354718613978187,0.8963946847203067
0.3,True,1.0,adj_tol1,icc,0.8166049978589695,0.8176895445787472,0.0007047325050073828,1.5389480576979988
0.3,True,1.0,adj_tol1,mae,2.259029662209463,2.269192421123228,0.0043216196010387505,2.3516088531536212
0.3,True,1.0,adj_tol2,ba_bias,-1.0990108566236545,-1.0861520411480605,0.009312405374940984,1.3808264307518365
0.3,True,1.0,adj_tol2,icc,0.8207067417481404,0.8223975667061233,0.0006909853097520502,2.446976707203258
0.3,True,1.0,adj_tol2,mae,2.215083241698775,2.2278091523018864,0.004295985788801431,2.9622794927032876
0.3,True,1.0,adj_tol3,ba_bias,-1.0962409029944953,-1.0828149357724541,0.009205320966423384,1.4585007161632566
0.3,True,1.0,adj_tol3,icc,0.8240895040984514,0.8258122955233567,0.0006764337430162681,2.5468738700456077
0.3,True,1.0,adj_tol3,mae,2.183248860085871,2.1966685862197886,0.00420346455803479,3.1925393799898583
0.3,True,1.0,mean2,ba_bias,-1.0981644001660253,-1.0851397700352523,0.009034599638898097,1.4416388828892905
0.3,True,1.0,mean2,icc,0.834737113646975,0.8358409075802741,0.000651642544832604,1.6938641315732612
0.3,True,1.0,mean2,mae,2.1186511255345724,2.1287450755805657,0.004173047643427641,2.418843710517144
0.3,True,1.0,single,ba_bias,-1.096356641781626,-1.0849161364726747,0.009150314176027309,1.2502855190397673
0.3,True,1.0,single,icc,0.8117686679568759,0.8126645898376654,0.0007074871793509623,1.266343627048449
0.3,True,1.0,single,mae,2.3088710364466176,2.3180826837814545,0.004254834204044665,2.16498384968333
0.3,True,2.0,adj_tol1,ba_bias,-1.1005312353594758,-1.0905443577015217,0.009796136449688013,1.0194710648678442
0.3,True,2.0,adj_tol1,icc,0.7717245466126087,0.7725264780762957,0.0008118532684919873,0.9877788201513239
0.3,True,2.0,adj_tol1,mae,2.6840574401158723,2.691383112007345,0.004339062128492745,1.6883076744552616
