p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.15,False,1.0,adj_tol3,ba_bias,-0.2628876988191253,-0.2610992759081761,0.008797493243473183,0.20328778453749186
0.15,False,1.0,adj_tol3,icc,0.9085562423387441,0.9089861000483169,0.00036233575283911877,1.1863519020815056
0.15,False,1.0,adj_tol3,mae,1.5279019115912669,1.5289189352907042,0.002517692809382127,0.4039506708870243
0.15,False,1.0,mean2,ba_bias,-0.2617504352954895,-0.259011977029593,0.008749380581090743,0.31298881566712417
0.15,False,1.0,mean2,icc,0.9102651640317729,0.91068356318735,0.0003512713487752841,1.191099578817981
0.15,False,1.0,mean2,mae,1.5129596833232133,1.5143426555436703,0.0024422753165515452,0.566263848749763
0.15,False,1.0,single,ba_bias,-0.2603103110718303,-0.2590206471579047,0.008818042768283204,0.14625285313474212
0.15,False,1.0,single,icc,0.8969957890576125,0.89753310081828,0.00041599107046181227,1.2916425347087797
0.15,False,1.0,single,mae,1.6425272961261073,1.6448797469361534,0.0028251967305424216,0.8326679641861382
0.15,False,2.0,adj_tol1,ba_bias,-0.26379643048466744,-0.25758223917391615,0.009410018678923802,0.6603803374662369
0.15,False,2.0,adj_tol1,icc,0.8444505410085492,0.8449796205237595,0.0005704211113058065,0.9275244283984149
0.15,False,2.0,adj_tol1,mae,2.1182918916603017,2.122158744237598,0.002981539954772743,1.2969313294313976
0.15,False,2.0,adj_tol2,ba_bias,-0.2609036855778562,-0.26060318720802705,0.009355201926575855,0.03212099238344678
0.15,False,2.0,adj_tol2,icc,0.8477050101687191,0.8481879309899343,0.0005583895569895656,0.8648457249428347
0.15,False,2.0,adj_tol2,mae,2.0918312129295846,2.096153968539163,0.002866174225771908,1.5081970840115233
0.15,False,2.0,adj_tol3,ba_bias,-0.2618257829627982,-0.25994182974312463,0.009241354479268297,0.2038611573552275
0.15,False,2.0,adj_tol3,icc,0.8493507019063745,0.8499002591661239,0.0005513004088563601,0.9968381138867478
0.15,False,2.0,adj_tol3,mae,2.078189505714007,2.0805118799125184,0.0028327899278670714,0.8198187149937511
0.15,False,2.0,mean2,ba_bias,-0.2606885194391623,-0.2576707087760287,0.009196247637828989,0.32815674196503536
0.15,False,2.0,mean2,icc,0.8507789367200439,0.8514457917816152,0.0005437816851647416,1.2263286531418256
0.15,False,2.0,mean2,mae,2.0668257359814945,2.0689881701827795,0.0027902937826658654,0.7749844173106818
0.15,False,2.0,single,ba_bias,-0.25924839521550314,-0.2578016147016444,0.009261762613731827,0.15621006218769468
0.15,False,2.0,single,icc,0.8391469678214662,0.8398944429904166,0.0005895191509960825,1.267940435331707
0.15,False,2.0,single,mae,2.1621812104733085,2.164965505356768,0.0030014821796785847,0.9276399847750241
0.15,False,3.0,adj_tol1,ba_bias,-0.2640103018254262,-0.25624097092035186,0.010078703509161421,0.7708661037614692
0.15,False,3.0,adj_tol1,icc,0.7625559723893921,0.7634020444360495,0.0008085065032407885,1.0464628834351564
0.15,False,3.0,adj_tol1,mae,2.7772409901694273,2.7817682810866056,0.0035917415901809803,1.2604723373070317
