K,beat_cv,view_over,window,S_median_mm,axis,estimand,maxabs_a1a6_winner,maxabs_a1a6_value,maxabs_a1a6_mcse,maxabs_a1a6_runnerup,maxabs_a1a6_runnerup_value,maxabs_a1a6_gap,maxabs_a1a6_gap_mcse,maxabs_a1a6_clear,rmse_a1a6_winner,rmse_a1a6_value,rmse_a1a6_mcse,rmse_a1a6_runnerup,rmse_a1a6_runnerup_value,rmse_a1a6_gap,rmse_a1a6_gap_mcse,rmse_a1a6_clear,maxabs_a1a4_winner,maxabs_a1a4_value,maxabs_a1a4_mcse,maxabs_a1a4_runnerup,maxabs_a1a4_runnerup_value,maxabs_a1a4_gap,maxabs_a1a4_gap_mcse,maxabs_a1a4_clear,rmse_a1a4_winner,rmse_a1a4_value,rmse_a1a4_mcse,rmse_a1a4_runnerup,rmse_a1a4_runnerup_value,rmse_a1a4_gap,rmse_a1a4_gap_mcse,rmse_a1a4_clear
3,0.15,True,0.15,10.0,AP,T2,A6,0.1906162881017412,0.007575322318227169,A1,0.2319493019513879,0.041333013849646716,0.009760435849662158,True,A1,1.9610956488074267,0.006283244011937376,A6,2.40559354270454,0.44449789389711336,0.010270393921331174,True,A1,0.2319493019513879,0.006154721744347147,A2,2.2597537254146296,2.0278044234632415,0.009603498733606662,True,A1,1.9610956488074267,0.006283244011937376,A2,3.246704694077002,1.2856090452695752,0.010975993289446574,True
3,0.15,True,0.15,10.0,SL,T1,A4,0.8138692441492448,0.004498503297274334,A3,0.8871794000027602,0.07331015585351541,0.006493674052546847,True,A4,1.7253076887023733,0.005690672491041407,A3,1.7263233865738152,0.0010156978714419562,0.00813358185237962,False,A4,0.8138692441492448,0.004498503297274334,A3,0.8871794000027602,0.07331015585351541,0.006493674052546847,True,A4,1.7253076887023733,0.005690672491041407,A3,1.7263233865738152,0.0010156978714419562,0.00813358185237962,False
3,0.15,True,0.15,10.0,SL,T2,A6,0.1460111300133398,0.005681493238467333,A1,0.22231913090638689,0.0763080008930471,0.007082863097203995,True,A1,1.4838706108170805,0.00414724337486349,A6,1.806439801838163,0.3225691910210826,0.006681164956017935,True,A1,0.22231913090638689,0.004229371612306507,A2,1.3623240650251234,1.1400049341187364,0.006718583885031155,True,A1,1.4838706108170805,0.00414724337486349,A2,2.140345328418527,0.6564747176014465,0.007533066410632781,True
3,0.15,True,0.15,13.0,AP,T1,A4,1.2564129725889366,0.009425216392389938,A3,1.3009918216850407,0.0445788490961041,0.012456126000768978,True,A3,3.128888209464946,0.01080204706303778,A4,3.2344945706127453,0.10560636114779909,0.015438994927596327,True,A4,1.2564129725889366,0.009425216392389938,A3,1.3009918216850407,0.0445788490961041,0.012456126000768978,True,A3,3.128888209464946,0.01080204706303778,A4,3.2344945706127453,0.10560636114779909,0.015438994927596327,True
3,0.15,True,0.15,13.0,AP,T2,A6,0.23547672761649777,0.009256480680358396,A1,0.24922284757243485,0.01374611995593708,0.011840937247853987,False,A1,2.4050240548407484,0.007882558353900934,A6,2.9480664587207626,0.5430424038800141,0.0128661398823737,True,A1,0.24922284757243485,0.007384128948072868,A4,2.952550527314328,2.7033276797418933,0.01259544295372676,True,A1,2.4050240548407484,0.007882558353900934,A2,4.1743702723739835,1.769346217533235,0.013750013147554401,True
3,0.15,True,0.15,13.0,SL,T1,A4,0.8676030695564392,0.005354636029329646,A3,0.9890845241996039,0.12148145464316473,0.007762300024225765,True,A3,2.1073463120638856,0.007405335514369683,A4,2.1548082070317784,0.04746189496789288,0.010730364223545305,True,A4,0.8676030695564392,0.005354636029329646,A3,0.9890845241996039,0.12148145464316473,0.007762300024225765,True,A3,2.1073463120638856,0.007405335514369683,A4,2.1548082070317784,0.04746189496789288,0.010730364223545305,True
3,0.15,True,0.15,13.0,SL,T2,A6,0.16787209639791295,0.006697434544116565,A1,0.22317600329276632,0.05530390689485337,0.008644295122610932,True,A1,1.7425838658853607,0.005399483330211147,A6,2.1245468063547444,0.3819629404693836,0.008700622418887739,True,A1,0.22317600329276632,0.005465181487752195,A2,1.8410187447183388,1.6178427414255725,0.008433300561209599,True,A1,1.7425838658853607,0.005399483330211147,A2,2.74126681157043,0.9986829456850692,0.009598119583723455,True
3,0.3,False,0.0,10.0,AP,T1,A4,1.5531721159513074,0.007898024297794681,A3,1.61044307071169,0.057270954760382464,0.01117940015087966,True,A4,2.94111543871307,0.011262771787723194,A3,2.9754805118327816,0.03436507311971182,0.015957642180306885,True,A4,1.5531721159513074,0.007898024297794681,A3,1.61044307071169,0.057270954760382464,0.01117940015087966,True,A4,2.94111543871307,0.011262771787723194,A3,2.9754805118327816,0.03436507311971182,0.015957642180306885,True
3,0.3,False,0.0,10.0,AP,T2,A6,0.5225210769102251,0.012739907194003065,A1,0.5357762443802397,0.01325516747001465,0.015182542273017767,False,A1,2.6659751378630068,0.010577003949706017,A2,3.271077645797476,0.6051025079344692,0.01387880842175971,True,A1,0.5357762443802397,0.008258592771178417,A2,2.2077082139816975,1.6719319696014576,0.011245651214174486,True,A1,2.6659751378630068,0.010577003949706017,A2,3.271077645797476,0.6051025079344692,0.01387880842175971,True
3,0.3,False,0.0,10.0,SL,T1,A4,1.0771126379683407,0.00550993304082361,A3,1.101065471674722,0.023952833706381238,0.007814886474293323,True,A4,2.0484329344513514,0.00735240161823896,A3,2.0696915975572514,0.021258663105899966,0.010507977754023581,True,A4,1.0771126379683407,0.00550993304082361,A3,1.101065471674722,0.023952833706381238,0.007814886474293323,True,A4,2.0484329344513514,0.00735240161823896,A3,2.0696915975572514,0.021258663105899966,0.010507977754023581,True
