K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.0,13.0,SL,T1,A6,-1.772614064020276,0.007297410674959477,20/20,-0.15185639665813208,0.005263802666242411,2.4/8,1.620757667362144,0.008997767560242554,1.772614064020276,0.007297410674959477,20/20,True,1.6714647793182944,2.909867286262584,0.008910222218153964,20/20,0.7843239871302252
2,0.05,False,0.0,13.0,SL,T1,A7,0.05082929882566133,0.00687902113114329,2.4/40,0.06557244620169207,0.007122954495225795,20/40,0.01474314737603074,0.009902394279353518,0.06557244620169207,0.007122954495225795,20/40,False,1.3561783860858783,2.253418976428012,0.009794505242064674,20/40,0.056615449009370024
2,0.05,False,0.0,13.0,SL,T2,A1,0.04267945797890814,0.00401529005453067,20/20,0.05898340628007006,0.0043478184756636385,4.8/8,0.01630394830116192,0.005918283511233219,0.05898340628007006,0.0043478184756636385,4.8/8,False,1.2677503922744127,1.3904558603387787,0.0037739919621264315,2.4/40,0.05149611023793537
2,0.05,False,0.0,13.0,SL,T2,A2,-1.5818637113953795,0.00605892453682332,2.4/40,0.586063662873527,0.004666857740678519,20/8,2.1679273742689062,0.007647883871676577,1.5818637113953795,0.00605892453682332,2.4/40,True,1.3321729918587517,2.4846152106825294,0.007244630601570147,2.4/40,0.6600921603610254
2,0.05,False,0.0,13.0,SL,T2,A3,0.10872442407438294,0.004369323983709436,2.4/40,1.3686967569777058,0.006193409049826646,20/8,1.2599723329033228,0.007579532157929874,1.3686967569777058,0.006193409049826646,20/8,True,1.3799319497633844,2.3893773289485045,0.009105783977848716,20/8,0.4346121973780677
2,0.05,False,0.0,13.0,SL,T2,A4,0.10872442407438294,0.004369323983709436,2.4/40,1.315076185039125,0.006094482943221265,20/8,1.206351760964742,0.0074989142160604445,1.315076185039125,0.006094482943221265,20/8,True,1.3795253979624649,2.3331653315305814,0.008882826173955185,20/8,0.4247672982770398
2,0.05,False,0.0,13.0,SL,T2,A5,-1.5818637113953795,0.00605892453682332,2.4/40,0.586063662873527,0.004666857740678519,20/8,2.1679273742689062,0.007647883871676577,1.5818637113953795,0.00605892453682332,2.4/40,True,1.3321729918587517,2.4846152106825294,0.007244630601570147,2.4/40,0.6600921603610254
2,0.05,False,0.0,13.0,SL,T2,A6,0.04059288074544678,0.00489176651595822,20/20,0.06313640182433057,0.005228639759749359,2.4/8,0.022543521078883792,0.007160171323640368,0.06313640182433057,0.005228639759749359,2.4/8,False,1.5433639147071647,1.6659998258706046,0.004308770129472961,2.4/40,0.05275187254402164
2,0.05,False,0.0,13.0,SL,T2,A7,0.26699152449783853,0.006907344502356983,2.4/40,1.8672278101651962,0.0073079693896981775,20/20,1.6002362856673578,0.01005573590917178,1.8672278101651962,0.0073079693896981775,20/20,False,1.398799252362803,3.3837254191652355,0.011856252137320666,20/40,0.8936913086836169
2,0.05,False,0.15,10.0,AP,T1,A1,-2.056004854729057,0.0076703529751212945,20/8,-0.1555254084477267,0.0049886530143222795,2.4/8,1.9004794462813304,0.00914991659307662,2.056004854729057,0.0076703529751212945,20/8,False,1.5687365754054345,3.1797057418336525,0.009904037057992183,20/8,0.8966279905063687
