cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
0,0.05,0.0,1.0,100,0.1,power_reject_welch_mean,0.0805,0.006083574196144894,2000,welch_mean,0.06857641358422707,0.09242358641577293
0,0.05,0.0,1.0,100,0.2,power_reject_welch_mean,0.165,0.008299849396224006,2000,welch_mean,0.14873259397797922,0.1812674060220208
0,0.05,0.0,1.0,100,0.3,power_reject_welch_mean,0.3035,0.010280752647544827,2000,welch_mean,0.2833500949179074,0.32364990508209257
0,0.05,0.0,1.0,100,0.5,power_reject_welch_mean,0.6635,0.010565693304274926,2000,welch_mean,0.64279162148858,0.6842083785114199
1,0.05,0.0,2.0,10,0.0,power_reject_bf,0.043,0.004536022486716748,2000,bf,0.03410955922284469,0.0518904407771553
1,0.05,0.0,2.0,10,0.1,power_reject_bf,0.069,0.005667406814408156,2000,bf,0.05789208667040534,0.08010791332959467
1,0.05,0.0,2.0,10,0.2,power_reject_bf,0.1425,0.007816449001944554,2000,bf,0.12718004134835273,0.15781995865164725
1,0.05,0.0,2.0,10,0.3,power_reject_bf,0.293,0.010177204920802175,2000,bf,0.27305304473460484,0.3129469552653951
1,0.05,0.0,2.0,10,0.5,power_reject_bf,0.7555,0.00961040451802108,2000,bf,0.7366639531192413,0.7743360468807586
1,0.05,0.0,2.0,25,0.0,power_reject_bf,0.0445,0.004610843198374892,2000,bf,0.03546291332154035,0.05353708667845965
1,0.05,0.0,2.0,25,0.1,power_reject_bf,0.0965,0.006602565789145913,2000,bf,0.08355920874564242,0.10944079125435759
1,0.05,0.0,2.0,25,0.2,power_reject_bf,0.287,0.010115112456122274,2000,bf,0.26717474373004874,0.3068252562699512
1,0.05,0.0,2.0,25,0.3,power_reject_bf,0.5985,0.010961244226820238,2000,bf,0.5770163559202245,0.6199836440797756
1,0.05,0.0,2.0,25,0.5,power_reject_bf,0.9855,0.00267298989897081,2000,bf,0.9802610360256536,0.9907389639743465
1,0.05,0.0,2.0,50,0.0,power_reject_bf,0.049,0.0048269555622566076,2000,bf,0.03953934086837729,0.05846065913162271
1,0.05,0.0,2.0,50,0.1,power_reject_bf,0.1345,0.007629211951440331,2000,bf,0.11954701922680722,0.1494529807731928
1,0.05,0.0,2.0,50,0.2,power_reject_bf,0.463,0.011149686094236015,2000,bf,0.4411470166439968,0.48485298335600324
1,0.05,0.0,2.0,50,0.3,power_reject_bf,0.854,0.007895695029571494,2000,bf,0.838524721987061,0.869475278012939
1,0.05,0.0,2.0,50,0.5,power_reject_bf,1.0,0.0,2000,bf,1.0,1.0
1,0.05,0.0,2.0,100,0.0,power_reject_bf,0.051,0.004919298730510275,2000,bf,0.04135835158295416,0.060641648417045835
1,0.05,0.0,2.0,100,0.1,power_reject_bf,0.215,0.009186266924055712,2000,bf,0.19699524753446007,0.23300475246553992
1,0.05,0.0,2.0,100,0.2,power_reject_bf,0.708,0.01016700545883595,2000,bf,0.688073035312878,0.7279269646871219
1,0.05,0.0,2.0,100,0.3,power_reject_bf,0.981,0.0030527856131736483,2000,bf,0.9750166500984617,0.9869833499015382
1,0.05,0.0,2.0,100,0.5,power_reject_bf,1.0,0.0,2000,bf,1.0,1.0
