cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ai,lam,sigma_ai_mm,ref,mse_true,mse_apparent,var_ref,bias_ref,cov_ai_ref,bias_ai,mse_apparent_closed_form,identity_abs_error,mae_true,mae_apparent,apparent_sd_within_mean,apparent_sd_within_mcse,mse_apparent_lambda_form,mse_true_lambda_form
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,2.0,single,4.067478333503863,6.825221320767808,2.8148168630953085,0.07154025296092932,0.02439446610916607,0.09367419635813105,6.825221320767808,0.0,1.6092356210100387,2.0657516246063317,2.5824487960920455,0.006999438418946655,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,2.0,mean2,4.067478333503863,6.329474493587549,2.3293594527701615,0.07368894764806659,0.02949392389456866,0.09367419635813105,6.329474493587548,8.881784197001252e-16,1.6092356210100387,1.9876713928431797,2.4854311535314006,0.00632652256828448,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,2.0,R_img,4.067478333503863,6.101771290705625,2.025483343548969,-0.09504305866520307,0.00901486681370406,0.09367419635813105,6.101771290705624,8.881784197001252e-16,1.6092356210100387,1.949214121316779,2.4588250060629964,0.006507184916376787,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,3.0,single,9.0550134827479,11.891779709727158,2.8148168630953085,0.07154025296092932,-0.00798565795650894,-0.006010882975852685,11.89177970972716,1.7763568394002505e-15,2.400231561380024,2.742646456769728,3.423489697376468,0.008298847011296458,11.819934870889023,9.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,3.0,mean2,9.0550134827479,11.38941124242958,2.3293594527701615,0.07368894764806659,0.0006388126879056517,-0.006010882975852685,11.389411242429581,1.7763568394002505e-15,2.400231561380024,2.682120297296032,3.349627869617987,0.007923528371608679,11.334789513775641,9.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,3.0,R_img,9.0550134827479,11.10911224092004,2.025483343548969,-0.09504305866520307,-0.01036240851467134,-0.006010882975852685,11.109112240920041,1.7763568394002505e-15,2.400231561380024,2.6481238116576957,3.3272114346300405,0.007959715452638304,11.034516526549407,9.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,3.0,single,9.553851498573882,10.467982813111117,2.8148168630953085,0.07154025296092932,0.9567315004940485,-0.05353241230845422,10.467982813111119,1.7763568394002505e-15,2.465156801568766,2.5807102247194407,3.20746828350345,0.007717774269115518,10.40592909008435,9.508629131637353
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,3.0,mean2,9.553851498573882,9.990828108502885,2.3293594527701615,0.07368894764806659,0.952851199051391,-0.05353241230845422,9.990828108502887,1.7763568394002505e-15,2.465156801568766,2.5195807667351393,3.132598703879613,0.007248214757933468,9.945997495660317,9.508629131637353
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,3.0,R_img,9.553851498573882,9.573433730196616,2.025483343548969,-0.09504305866520307,1.0023792632598134,-0.05353241230845422,9.573433730196617,1.7763568394002505e-15,2.465156801568766,2.4677336213867016,3.089747878250985,0.007069862201995358,9.508629131637353,9.508629131637353
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,3.0,single,11.06994777767457,10.06144417976978,2.8148168630953085,0.07154025296092932,1.9214486589446065,-0.10105394164105576,10.06144417976978,0.0,2.644398409160869,2.530157547403647,3.1407259227935582,0.00763565858714319,10.009181572554377,11.034516526549407
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,3.0,mean2,11.06994777767457,9.609503237850895,2.3293594527701615,0.07368894764806659,1.9050635854148763,-0.10105394164105576,9.609503237850895,0.0,2.644398409160869,2.471751632515047,3.068361294695341,0.007128226042653174,9.574463740819692,11.034516526549407
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,3.0,R_img,11.06994777767457,9.0550134827479,2.025483343548969,-0.09504305866520307,2.015120935034298,-0.10105394164105576,9.0550134827479,0.0,2.644398409160869,2.4002315613800245,3.0050895508798754,0.006819018464260179,9.0,11.034516526549407
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,3.0,single,9.100530457472848,11.863883896766875,2.8148168630953085,0.07154025296092932,0.02173258012366309,0.09167056869951348,11.863883896766874,1.7763568394002505e-15,2.406837681387842,2.7392217051435135,3.4202070291281923,0.008334229446980207,,
