u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,quantity,q25,q25_ci_lo,q25_ci_hi,median,median_ci_lo,median_ci_hi,q75,q75_ci_lo,q75_ci_hi,q05,q05_ci_lo,q05_ci_hi,q95,q95_ci_lo,q95_ci_hi,cohort44_median_p025,cohort44_median_p975,cohort44_q25_p025,cohort44_q25_p975,cohort44_q75_p025,cohort44_q75_p975,p_cohort_median_le_9p5,p_cohort_median_le_9p5_mcse,n_cohorts
0.25,0.1,19.947114020071634,7.978845608028654,88000,anchor view 3-beat mean,5.897668375874651,5.873394767211326,5.922973097656523,8.181955088740699,8.151250378240038,8.212106995795144,11.183355204013802,11.138235742905733,11.22354365288316,3.409251380300454,3.3787569454794633,3.438688725548222,17.25707274303364,17.162058979835013,17.362628132131917,6.891614799264702,9.660851518075042,4.823469741605156,7.249706103908783,9.31133814247773,13.287279158741857,0.9595,0.004407933189148855,2000
0.25,0.1,19.947114020071634,7.978845608028654,88000,long-axis view 3-beat mean,7.1078673752367845,7.077737066452979,7.136121210639096,9.579374498846327,9.54348467045226,9.617742280265688,12.809126633754325,12.76386937850733,12.863720681514783,4.461697317612412,4.431178096915294,4.494132218453392,19.478196822374983,19.375276900041055,19.609670505645838,8.174643380485321,11.322008115092881,5.9989943061544055,8.573624414962225,10.792473087863742,15.089890311203092,0.4595,0.011143602424709884,2000
0.25,0.1,19.947114020071634,7.978845608028654,88000,long-axis view single beat,6.894750629396784,6.865408134569783,6.925613008561169,9.50228609406427,9.468197831152652,9.538261453222852,12.890015908352485,12.838357297563137,12.941289703618079,4.037736036039438,4.004893400490142,4.073323671521811,19.89536778908407,19.78446896578459,20.026357185106814,7.973206343764087,11.317666750609622,5.741433227683898,8.402123182637757,10.72567165193344,15.215362151332318,0.5025,0.01118020013237688,2000
0.25,0.1,19.947114020071634,7.978845608028654,88000,A4 composite,7.782538324138068,7.7533211578614045,7.810614747985793,10.256632889984532,10.223016231106419,10.291239602321175,13.496839215178522,13.446660026474534,13.553226485845975,5.138889822563722,5.105074929006129,5.168972533104076,20.311351906036165,20.190938364802694,20.4129269444577,8.857058728723253,11.932776176200507,6.657140943879286,9.237463478349195,11.425877055998965,15.800665957821224,0.1555,0.008103078118838545,2000
0.25,0.25,19.947114020071634,19.947114020071634,88000,T1 AP (true span),7.611613873398706,7.583661362623314,7.63638969053192,9.976830137627239,9.938391799406027,10.010012809000559,13.112646447857257,13.0578688685725,13.153890213894094,5.188334901924765,5.1624969389368145,5.217078901229951,19.30456479702881,19.19893731676373,19.43770314215954,8.594331980243217,11.595325996331583,6.531125240032298,8.984666133383794,11.057775536385824,15.222818552767361,0.254,0.009733550225893941,2000
0.25,0.25,19.947114020071634,19.947114020071634,88000,anchor view 3-beat mean,5.8656935895926745,5.841168224894528,5.89184491349165,8.15890544255424,8.126521801760276,8.186899242330016,11.155646060073325,11.108673689863153,11.19846399958508,3.405249467517657,3.374757724394749,3.43311650314892,17.248053863860843,17.15303583761522,17.348619659165305,6.820959877226548,9.577452904763527,4.805017949530947,7.136650603546904,9.170102779648209,13.227471526917556,0.9645,0.0041376170678302255,2000
0.25,0.25,19.947114020071634,19.947114020071634,88000,long-axis view 3-beat mean,5.9616472615821285,5.930832800026764,5.988135751135215,8.29362216843463,8.256813770132853,8.327494521338151,11.364594795252676,11.316747319964861,11.410623387184522,3.467727803711235,3.435846919024375,3.4992920963764624,17.652013452078005,17.540662747843342,17.783539984730748,6.9906526725804055,9.85236270155951,4.8594194383507014,7.307792335250452,9.358362662990588,13.530644966503873,0.938,0.005392402062161169,2000
0.25,0.25,19.947114020071634,19.947114020071634,88000,long-axis view single beat,5.7721364869823555,5.743967508509423,5.799314585077397,8.2087608790881,8.179327995554361,8.243547661136953,11.389658917512971,11.336389821743294,11.44386918288198,3.0325686661008113,2.997186543959443,3.0712617790855834,18.002100262219958,17.886875032539322,18.127986310578155,6.829334934475618,9.801470055187107,4.6253047532849605,7.17541956203969,9.341637558078872,13.663325979612909,0.9455,0.005075911248239078,2000
0.25,0.25,19.947114020071634,19.947114020071634,88000,A4 composite,7.2371651412337314,7.208531999875011,7.264027528821241,9.632813626121598,9.600831722063043,9.662818285736869,12.796309447275934,12.749170807286982,12.843053978132138,4.706811165499084,4.678259785310507,4.732973197768562,19.291835950465238,19.17831071720113,19.409155409664297,8.247516940507746,11.220885571077808,6.123996228781938,8.59677577592908,10.780887286756549,15.039543928997922,0.436,0.011088372288122365,2000
0.25,0.5,19.947114020071634,39.89422804014327,88000,T1 AP (true span),7.656758888130037,7.628416414440273,7.683862115237,10.011618064145125,9.978604266195784,10.048336824477921,13.063820456315863,13.019425165571382,13.106939033120625,5.180748349096157,5.153194725997986,5.2114397866579445,19.294903647269276,19.16316949299556,19.413895101387514,8.607937424821657,11.584729138034588,6.558228962220701,9.044151226074952,11.076929388661926,15.300853756489943,0.2435,0.009597076377730876,2000
