scenario,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias,infl_min,infl_max,infl_max_mcse,infl_min_combo,infl_max_combo
K 4,4,0.15,True,0.0,10.0,SL,T1,A6,-1.2433872833585276,0.00684125656314279,20/40,0.013146260106181232,0.006015990518328716,2.4/20,1.2565335434647087,0.009110155502479927,1.2433872833585276,0.00684125656314279,20/40,False,1.8841305567112419,2.495244330702059,0.007241764081130741,20/40,0.48179763379795215,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A7,0.09819452270553494,0.007178017621804187,20/40,0.12463896221159369,0.006958392169427348,4.8/40,0.02644443950605875,0.009997157524140514,0.12463896221159369,0.006958392169427348,4.8/40,False,1.2048048112330274,2.2720000744378366,0.008234380497613977,20/40,0.1149981665667299,,,,,
K 4,4,0.15,True,0.0,10.0,AP,T1,A3-A1,,,,,,,,,,,,,,,,,,0.43384100956429633,2.840554057704478,0.00825497911722511,2.4/40,20/8
K 4,4,0.15,True,0.0,10.0,SL,T1,A3-A1,,,,,,,,,,,,,,,,,,0.3392616541961103,1.9282146741392838,0.005569985576919622,2.4/40,20/8
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A1,-2.0186363291670224,0.007776256097333647,20/20,-0.09326767048530762,0.005156805876913208,2.4/20,1.9253686586817147,0.009330745186933642,2.0186363291670224,0.007776256097333647,20/20,False,1.6333820590809622,3.1814851953774506,0.010066169034467425,20/20,0.8490880042923797,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A2,-3.2354708120419162,0.007911954561085736,20/40,-0.38766463094074766,0.004874306675653983,2.4/8,2.8478061811011686,0.009292894626810872,3.2354708120419162,0.007911954561085736,20/40,True,1.5893856247145803,4.090001378266117,0.010060855186729065,20/40,1.6592963831512992,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A3,-0.9717354181149879,0.006763926874676432,20/40,0.525974899019579,0.005645596356939926,2.4/8,1.4977103171345667,0.008810417980519621,0.9717354181149879,0.006763926874676432,20/40,True,1.6924444523829323,2.349317911375418,0.008007033302798252,20/40,0.3386816170035986,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A4,-1.1458147582257978,0.006799558483077796,20/40,0.4207846291910013,0.005262781113633523,2.4/8,1.5665993874167992,0.008598305682796636,1.1458147582257978,0.006799558483077796,20/40,True,1.6514768157450586,2.4364410074229177,0.008264702341370639,20/40,0.332203568475963,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A5,-2.9856393067580957,0.008617798621549393,20/40,-0.40523307990229984,0.004909842167915336,2.4/8,2.580406226855796,0.009918316550474591,2.9856393067580957,0.008617798621549393,20/40,True,1.6046322799572952,4.042352423003683,0.011925543429571053,20/40,1.523620318403138,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A6,-2.024787491940683,0.008294368274843185,20/20,-0.09277812771263538,0.005988093979792529,2.4/40,1.9320093642280478,0.010230044701248995,2.024787491940683,0.008294368274843185,20/20,False,1.8868277122306425,3.313510238228769,0.010103697829965431,20/20,0.8490281078964753,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A7,0.06072377918676959,0.004717195767733534,10/8,0.0771971944063171,0.0071489451194421474,10/40,0.01647341521954751,0.008565007427429288,0.0771971944063171,0.0071489451194421474,10/40,False,1.4845907359274693,2.299231013814568,0.008253773634423485,20/40,0.06976818835045628,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A1,-1.2885706800071128,0.0055394743084648534,20/8,-0.06122601682956022,0.004033783752997506,2.4/20,1.2273446631775526,0.006852531428610073,1.2885706800071128,0.0055394743084648534,20/8,False,1.2770565728737753,2.1835540225438947,0.006981858676227896,20/20,0.5430200811039093,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A2,-2.07065232533331,0.005634986413841216,20/40,-0.24958577836941698,0.0037271777987697686,2.4/8,1.821066546963893,0.0067561028875985415,2.07065232533331,0.005634986413841216,20/40,True,1.2047674477981842,2.731826584495046,0.007187222314822795,20/40,1.0621788213520251,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A3,-0.5605858703763986,0.0049333157662633815,20/40,0.4546390505356139,0.004175357231487634,2.4/8,1.0152249209120126,0.006463065252664477,0.5605858703763986,0.0049333157662633815,20/40,True,1.3052542578150264,1.657707038480413,0.005440024316456297,20/40,0.242611246311235,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A4,-0.6343875359399437,0.004955907271115483,20/40,0.4206697731414184,0.004037204095611561,2.4/8,1.055057309081362,0.0063921853688326405,0.6343875359399437,0.004955907271115483,20/40,True,1.2885637137756711,1.6907172066104388,0.005748445234551556,20/40,0.23569355000578984,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A5,-1.929005617203481,0.006048793318863044,20/40,-0.25988742552259503,0.0037841998361647354,2.4/8,1.669118191680886,0.007134989068972104,1.929005617203481,0.006048793318863044,20/40,True,1.224558693480751,2.716581702201167,0.008339700494158218,20/40,0.9849762870856407,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A6,-1.2899801658950047,0.006172383147580139,20/8,-0.057890183792762874,0.004888881018975149,2.4/20,1.232089982102242,0.00787397430388408,1.2899801658950047,0.006172383147580139,20/8,False,1.5470756717082368,2.3450834972260495,0.007071028738835822,20/20,0.54220054913411,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A7,0.03550562527716134,0.006518650220492859,4.8/40,0.05054054493938655,0.006478829127272818,2.4/40,0.015034919662225206,0.00919064891928368,0.05054054493938655,0.006478829127272818,2.4/40,False,1.165895208063079,2.1211381504524915,0.008579718796760227,20/40,0.04410341341614956,,,,,
beat CV 5%,3,0.05,True,0.0,10.0,AP,T1,A3-A1,,,,,,,,,,,,,,,,,,0.19836636357339194,2.2397190755402625,0.007119048860663749,2.4/40,20/8
beat CV 5%,3,0.05,True,0.0,10.0,SL,T1,A3-A1,,,,,,,,,,,,,,,,,,0.18103575945354966,1.5384007553349806,0.004831040820532847,2.4/40,20/8
beat CV 30%,3,0.3,True,0.0,10.0,AP,T1,A1,-1.6335613892526157,0.009567872310553565,20/20,0.36769742533439714,0.008464518119320716,2.4/40,2.001258814587013,0.012774672110992372,1.6335613892526157,0.009567872310553565,20/20,False,2.642818815324216,3.438437046592848,0.010525842809525893,20/20,0.6447551018671073,,,,,
beat CV 30%,3,0.3,True,0.0,10.0,AP,T1,A2,-2.906543623176412,0.008422256178578212,20/40,0.05832163798390249,0.006241608547681647,2.4/8,2.9648652611603143,0.010482942163347629,2.906543623176412,0.008422256178578212,20/40,True,1.9523203215069391,3.942253773260698,0.010246759542298572,20/40,1.2797595021929895,,,,,
