cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,inflation,inflation_mcse,n
49,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.0,13.0,SL,0.4489512410585172,0.0018400548415751516,100000
50,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.15,10.0,AP,0.5026740778830906,0.0020694375798235615,100000
50,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.15,10.0,SL,0.5305582835651488,0.0020156065442147905,100000
51,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.15,13.0,AP,0.5029127342797279,0.0021909056144561348,100000
51,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.15,13.0,SL,0.5139633863930254,0.0020444695054301844,100000
52,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.0,10.0,AP,0.8437843610701067,0.0037242000523984905,100000
52,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.0,10.0,SL,0.6793137749698167,0.0026974882168567505,100000
53,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.0,13.0,AP,1.0003906732944146,0.004714948549472215,100000
53,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.0,13.0,SL,0.7591700417664733,0.003204296978423469,100000
54,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.15,10.0,AP,0.8860519793146893,0.003792550509111995,100000
54,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.15,10.0,SL,0.7457167614704567,0.002838644384511303,100000
55,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.15,13.0,AP,1.028597467171245,0.004746901910006028,100000
55,0.03,0.1,2.4,8.0,2.4/8,4,0.05,True,0.15,13.0,SL,0.8180683815117782,0.0033363909738917466,100000
56,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.0,10.0,AP,0.8238235487510546,0.0034258514428986055,100000
56,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.0,10.0,SL,0.6522406222459574,0.0025475111565836654,100000
57,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.0,13.0,AP,0.9863331148373924,0.00425253377853799,100000
57,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.0,13.0,SL,0.7392964863375363,0.0030311148420549155,100000
58,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.15,10.0,AP,0.9940855738417426,0.00398007812595372,100000
58,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.15,10.0,SL,0.7889590785700423,0.0029955831860792796,100000
59,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.15,13.0,AP,1.1934525032313568,0.004980053098865243,100000
59,0.03,0.1,2.4,8.0,2.4/8,4,0.15,False,0.15,13.0,SL,0.8994806249085083,0.0035438873545959614,100000
60,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.0,10.0,AP,1.163530504732482,0.00474977062694359,100000
60,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.0,10.0,SL,0.8627475848454554,0.0033150553705699115,100000
61,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.0,13.0,AP,1.4500734872223464,0.006087400568926322,100000
61,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.0,13.0,SL,1.025665010212128,0.0041649440008408155,100000
62,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.15,10.0,AP,1.3229663968218788,0.005240100145830247,100000
62,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.15,10.0,SL,0.989609413032757,0.0037062264882418983,100000
63,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.15,13.0,AP,1.6334387363413614,0.006592847216393314,100000
63,0.03,0.1,2.4,8.0,2.4/8,4,0.15,True,0.15,13.0,SL,1.1611336184704013,0.004530887048517272,100000
